cx	cy
79.571	136.615
29.109	39.274
106.763	84.247
166.853	126.963
129.697	154.332
169.409	56.405
167.597	90.552
83.466	138.446
159.384	90.386
80.212	139.34
26.161	171.028
86.854	120.514
81.368	134.158
89.537	78.327
147.374	61.01
26.233	137.266
92.689	47.191
140.722	92.048
37.236	150.061
66.268	106.533
59.197	101.577
43.217	115.53
164.671	119.34
155.611	92.754
120.845	131.389
148.95	153.289
30.114	112.568
92.644	125.173
60.436	149.05
72.393	77.62
161.335	131.16
72.368	81.582
145.228	42.262
141.371	152.407
156.807	83.059
113.771	68.603
38.046	46.154
74.649	65.002
140.287	54.472
143.338	24.17
90.4	124.12
50.204	37.251
173.352	50.245
170.292	87.276
57.072	31.133
62.026	29.132
48.443	49.156
104	35.051
135.407	117.129
93.598	60.325
170.348	77.265
47.205	136.35
96.122	66.374
110.053	57.303
172.428	48.101
125.081	168.202
135.817	84.278
144.354	147.248
138.073	61.518
28.214	156.328
47.149	45.235
44.396	30.121
46.141	141.908
71.275	103.61
51.046	130.747
172.644	84.276
87.022	126.266
107.834	66.431
31.28	163.177
147.021	76.664
150.257	159.347
39.308	33.238
107.812	65.542
137.191	54.026
136.694	32.276
142.879	21.047
114.079	70.033
35.176	154.125
168.981	133.751
78.303	117.162
36.096	132.159
45.332	66.493
40.376	121.28
44.221	125.834
70.109	91.865
111.026	87.573
46.408	51.05
165.925	135.268
107.886	173.655
33.19	38.318
116.693	65.576
141.297	30.225
104.906	96.376
105.014	89.793
40.374	115.747
139.506	58.544
155.238	89.763
25.046	153.492
115.448	56.337
32.147	31.046
88.535	119.147
134.325	96.761
145.201	148.718
113.057	52.209
45.121	31.247
101.558	103.327
75.227	69.199
144.634	143.452
92.075	72.124
83.803	134.038
30.23	39.117
137.247	71.261
148.419	157.005
143.761	62.003
24.177	154.274
94.435	60.36
148.206	155.767
137.016	58.463
47.402	42.003
70.238	107.753
103.751	171.403
72.131	95.69
135.861	147.946
43.214	63.031
41.319	63.357
107.851	89.006
35.32	45.29
167.382	52.405
139.325	48.353
83.379	135.841
90.666	69.46
131.746	160.171
143.754	73.25
150.363	160.159
138.516	155.504
166.917	52.034
166.69	51.299
143.838	83.322
107.636	73.63
90.607	122
37.212	71.501
139.296	91.076
147.752	58.39
73.556	81.648
111.078	84.318
123.05	126.202
37.176	57.062
90.866	85.158
29.191	154.648
110.954	74.031
101.382	28.202
38.051	63.275
128.243	152.414
111.802	100.217
57.488	35.164
136.252	33.199
30.105	126.26
134.691	103.686
57.276	141.079
29.115	116.476
98.859	51.022
139.316	99.167
146.31	90.018
108.407	100.641
104.836	38.18
89.337	118.935
139.166	57.16
59.341	37.051
110.777	61.067
139.874	162.556
28.212	135.956
103.735	28.212
147.07	65.161
63.421	115.148
143.169	99.697
45.091	76.684
45.365	135.555
119.156	155.212
133.308	109.133
98.155	44.254
117.701	121.861
175.853	41.064
75.15	130.114
131.269	111.373
146.418	165.514
38.018	58.268
89.222	116.519
67.543	63.147
169.318	126.442
53.338	30.015
60.57	34.235
171.156	79.35
27.088	115.098
41.295	70.494
140.508	70.099
168.526	51.432
163.99	142.181
46.367	72.193
135.809	81.636
71.581	69.38
31.182	121.436
175.137	81.637
138.234	102.74
108.654	88.531
32.187	30.172
95.36	54.398
140.698	104.467
31.151	143.689
52.435	117.353
138.519	31.173
150.422	158.579
106.975	105.32
139.145	62.012
70.553	99.719
76.226	58.238
31.258	36.097
60.36	143.784
166.561	86.402
161.197	87.291
87.36	125.123
147.117	164.465
37.281	140.142
41.331	47.291
138.174	105.356
139.243	148.206
86.363	83.776
163.773	140.229
174.647	47.301
57.36	122.323
141.333	95.373
140.085	47.113
139.004	23.12
53.394	126.572
135.05	24.22
28.183	168.56
26.239	169.048
33.024	130.937
63.563	129.446
91.728	40.377
136.31	159.13
34.237	164.591
132.887	160.84
24.039	159.945
67.132	74.572
41.038	120.926
171.641	138.823
44.276	36.035
137.735	64.536
34.025	125.779
121.894	166.858
112.501	132.976
112.077	96.363
110.027	97.565
116.92	157.204
67.554	70.142
140.962	58.445
41.048	69.646
142.426	66.535
156.513	134.849
52.47	124.825
104.343	31.047
92.464	38.349
143.164	51.253
132.385	21.115
175.043	126.993
147.677	36.158
163.684	52.026
45.448	131.623
33.24	117.39
145.018	65.151
35.069	135.076
169.604	123.027
143.281	75.666
137.212	68.303
28.003	106.928
57.348	132.1
147.41	151.858
33.071	156.258
140.298	101.443
173.656	46.331
135.649	114.3
137.946	91.055
171.838	132.468
127.125	116.503
160.581	94.472
85.794	115.756
38.25	65.108
47.158	39.002
47.157	69.226
171.628	45.124
80.097	42.211
167.184	40.086
32.143	34.334
93.825	42.154
147.132	67.139
29.101	42.036
105.022	94.545
37.162	142.89
138.104	78.743
82.153	115.24
150.601	159.267
68.251	100.139
110.606	56.153
110.122	176.131
163.569	46.014
139.083	75.079
91.097	44.133
78.377	55.498
161.169	141.296
143.079	85.179
44.013	132.075
141.154	76.617
86.162	77.079
44.109	55.026
48.155	132.834
29.057	168.656
171.649	83.586
141.332	32.048
162.488	85.218
41.343	39.142
116.942	69.637
87.718	85.039
40.33	142.571
156.535	88.072
28.247	114.553
121.413	163.87
115.567	161.511
128.554	162.337
85.193	120.942
108.029	172.912
136.259	119.954
137.643	97.885
38.237	37.21
117.77	60.214
166.57	78.005
105.234	94.715
130.357	24.009
160.155	119.916
134.43	163.659
142.05	40.049
29.241	118.763
84.332	136.156
106.504	165.993
160.529	134.12
134.131	108.093
163.804	129.41
133.54	108.685
162.879	54.018
54.259	114.933
33.101	142.006
38.298	130.002
140.208	74.63
46.206	43.331
35.029	51.217
143.336	64.611
83.351	116.249
131.448	117.019
167.364	127.138
142.959	22.128
166.383	53.127
89.623	73.682
29.13	131.197
78.411	123.121
47.25	30.086
115.118	170.618
141.371	155.035
55.268	28.181
141.184	146.569
111.475	67.002
92.53	56.459
134.204	116.786
130.173	114.701
47.395	38.117
31.054	134.263
89.503	53.03
145.12	33.053
36.336	138.292
98.728	48.024
54.375	132.263
96.729	37.148
119.838	166.215
132.993	145.025
40.073	59.493
161.319	119.793
123.199	128.017
62.43	29.269
111.093	49.003
165.356	54.53
127.989	165.756
80.756	121.03
41.054	119.105
174.088	131.869
65.546	108.521
162.224	132.484
61.37	143.521
86.749	137.111
163.271	138.057
116.087	157.42
124.141	154.268
42.29	37.015
31.28	138.691
87.857	80.763
39.144	45.001
147.586	151.267
141.25	49.161
162.856	82.544
166.268	51.053
44.115	29.165
140.797	95.947
26.225	115.971
114.829	164.587
130.437	148.005
106.79	161.208
37.156	80.79
87.493	120.485
113.93	67.228
120.542	161.217
31.278	125.442
119.667	164.488
147.413	60.445
79.71	137.972
72.182	95.726
79.25	47.251
35.316	46.13
84.339	131.017
91.561	67.448
51.19	36.331
41.219	81.133
91.197	85.788
131.021	120.517
109.073	97.098
72.649	67.297
95.342	48.182
103.585	42.092
27.131	107.801
143.925	92.07
80.114	49.351
166.394	132.28
77.36	56.091
34.173	159.364
170.923	91.228
131.526	24.129
60.569	115.017
108.254	159.572
25.065	161.102
32.304	151.233
50.363	41.037
145.161	58.348
145.375	49.102
29.061	151.431
57.202	111.088
58.486	132.2
135.59	161.133
53.353	36.111
73.077	82.641
60.344	114.503
160.323	131.058
163.458	53.291
146.758	84.518
128.372	125.134
38.223	58.19
148.804	149.058
100.381	41.385
158.96	128.749
106.118	82.587
161.457	44.2
146.306	40.339
128.268	160.909
144.271	73.459
173.791	95.417
141.385	99.042
106.126	85.074
89.045	64.41
167.335	47.344
137.142	110.593
145.941	49.315
64.328	30.218
58.492	136.218
49.343	44.306
32.192	158.641
134.179	20.051
83.043	122.703
127.36	129.011
61.117	31.027
119.968	117.803
33.035	147.864
91.235	69.237
113.732	88.698
38.019	147.154
158.611	95.282
91.832	76.504
136.149	78.191
101.194	48.237
87.357	59.552
72.488	82.281
118.695	130.033
88.714	75.034
68.246	70.415
148.317	152.828
134.11	102.259
48.262	122.804
114.278	60.26
90.369	80.265
162.783	138.735
134.575	144.178
139.54	113.222
71.513	82.099
111.587	123.958
39.07	124.096
132.246	23.171
141.521	101.822
164.269	132.459
140.832	67.333
113.107	165.258
117.55	165.107
101.07	93.871
31.072	141.008
47.364	116.165
118.911	162.318
133.176	114.226
135.203	82.032
34.209	49.352
137.016	25.075
49.048	138.8
50.027	138.035
68.622	98.717
47.389	135.067
47.149	127.034
156.929	123.732
118.144	126.055
138.15	84.363
135.863	118.169
98.358	54.271
143.203	97.236
65.537	101.182
115.516	167.866
90.207	128.276
63.1	97.265
26.185	136.144
111.095	54.348
97.742	50.321
36.286	152.28
60.557	38.089
144.22	154.754
32.096	71.173
53.132	140.128
111.017	68.525
77.627	122.473
121.1	133.163
53.475	41.343
137.747	61.407
122.062	157.499
62.312	99.9
87.194	131.592
68.367	63.095
162.459	80.421
55.303	132.627
41.372	50.181
160.223	136.222
165.331	129.611
124.624	166.572
90.301	132.949
50.098	139.196
174.253	39.209
117.384	124.402
177.683	84.69
53.135	37.007
31.092	39.058
52.392	119.409
86.767	113.794
143.895	65.134
109.234	166.42
161.041	88.851
140.709	71.089
103.707	175.242
25.246	118.774
58.245	120.174
113.584	72.142
177.285	79.722
35.345	47.08
164.638	87.422
59.473	107.402
68.641	99.163
107.985	68.13
24.182	111.678
78.646	43.396
74.007	53.296
142.297	88.842
109.026	57.287
173.198	82.162
129.061	150.545
62.217	127.842
137.146	59.193
72.225	58.246
167.48	83.637
84.026	133.203
91.285	38.196
141.804	158.01
28.235	108.112
117.074	163.281
142.979	97.961
91.834	56.488
106.252	170.652
31.189	145.758
136.452	23.222
54.084	128.491
64.517	132.026
95.817	56.144
130.582	109.383
106.633	173.731
130.635	163.941
139.251	163.899
31.179	140.232
104.635	37.236
118.327	157.509
41.056	55.055
56.286	30.128
138.679	151.662
137.01	30.233
90.324	134.119
52.317	47.007
109.637	98.79
138.785	118.119
33.19	119.786
60.252	135.289
41.386	115.572
144.123	69.312
92.838	48.06
138.191	71.375
163.313	128.145
44.338	46.27
89.679	68.186
26.241	155.285
37.046	122.564
87.006	133.721
145.819	50.389
79.779	49.071
137.658	43.021
27.188	116.895
170.653	124.013
149.426	154.142
161.472	46.041
35.256	75.669
66.638	140.692
100.694	32.075
57.451	146.977
167.297	92.35
32.023	36.339
110.621	82.658
40.097	55.02
52.432	131.611
115.703	67.439
141.503	161.01
25.09	166.396
78.763	49.427
168.133	81.206
141.479	69.098
35.194	79.677
84.585	73.663
159.206	128.6
124.566	123.322
137.986	47.195
94.907	38.322
120.939	130.068
135.319	87.466
34.23	150.311
29.252	164.466
89.318	74.36
55.087	36.063
25.025	34.162
148.178	157.192
113.319	75.734
170.98	41.381
37.089	147.441
30.049	125.752
113.263	126.147
140.208	55.533
135.154	115.355
163.154	136.341
164.934	77.267
64.117	98.939
168.73	118.692
176.966	91.635
46.121	44.058
130.256	153.357
39.232	128.738
112.68	76.023
39.249	71.028
34.083	69.505
116.775	130.256
114.267	67.412
36.039	119.224
76.08	48.418
71.483	77.449
162.598	134.191
135.573	75.106
145.361	34.315
36.03	154.356
121.086	127.223
144.281	96.745
103.048	172.273
62.019	100.574
126.389	130.064
42.027	130.171
39.361	125.721
173.001	48.341
113.679	56.455
141.096	97.81
47.126	141.536
63.089	147.663
115.127	172.962
83.286	83.402
48.064	50.093
33.259	120.38
170.425	128.372
139.645	23.028
114.847	66.228
35.233	48.363
160.103	131.843
146.907	27.067
111.193	55.03
35.154	50.003
106.38	64.079
167.902	75.45
92.028	63.605
111.736	81.697
166.168	43.254
82.712	134.023
137.064	17.063
170.67	135.339
89.551	48.127
110.954	52.139
168.39	41.296
71.308	58.011
170.552	138.458
92.61	49.346
161.406	98.44
137.041	88.643
172.463	134.255
110.452	95.264
31.201	160.111
30.241	132.794
165.355	97.035
145.367	63.628
30.069	145.858
30.17	134.011
72.287	48.441
119.18	132.466
85.185	131.617
128.468	25.069
132.107	163.658
84.163	82.077
139.273	34.21
45.305	65.539
120.56	120.106
143.871	71.682
124.229	156.79
144.935	31.2
86.312	83.453
146.253	53.163
142.594	25.137
130.038	23.124
171.68	54.413
112.378	173.881
47.065	129.209
111.046	75.328
132.567	110.49
92.235	82.164
140.174	61.361
38.212	133.686
37.072	46.398
116.592	56.189
168.664	99.24
145.399	148.046
164.561	43.234
34.32	140.135
89.588	60.432
25.227	164.17
52.411	128.558
30.16	30.039
66.23	96.526
49.367	41.228
90.019	70.071
112.872	65.351
158.065	123.694
63.329	114.461
64.198	102.015
122.825	156.192
39.057	130.691
125.672	167.444
104.45	100.442
108.243	105.531
157.383	84.518
167.363	117.41
108.666	129.798
94.406	66.549
107.165	68.113
30.276	169.975
140.39	146.725
144.401	152.224
47.443	49.032
66.203	99.951
69.541	106.128
146.003	89.45
43.226	117.753
117.75	125.537
146.288	73.528
84.233	129.422
36.144	53.318
168.012	87.643
136.06	92.824
138.692	145.217
142.278	46.298
31.178	169.467
41.269	55.244
113.306	56.194
137.411	112.151
40.032	130.552
155.527	135.521
140.421	18.073
27.114	146.583
139.168	79.058
78.608	52.341
135.914	157.549
40.028	33.308
108.058	77.325
131.469	25.137
57.153	138.964
65.287	93.537
129.369	110.868
28.248	159.322
89.143	55.407
141.239	91.702
45.128	137.388
29.102	121.009
107.525	176.678
105.306	164.317
141.962	146.052
27.009	148.21
160.469	123.524
131.808	27.255
85.248	138.836
147.068	93.632
60.45	121.155
82.393	124.07
165.57	95.251
46.154	133.392
67.277	146.206
157.315	133.054
80.369	44.309
67.193	113.655
170.398	55.157
157.025	88.622
59.46	36.089
78.462	51.353
28.109	116.216
95.938	72.164
135.366	110.706
113.067	176.097
143.181	95.803
123.332	130.89
28.196	162.298
33.119	42.038
50.054	37.124
143.177	40.377
71.043	72.33
110.348	67.06
112.338	168.784
172.456	92.571
146.118	159.866
112.186	53.065
130.073	161.922
59.14	29.038
115.235	52.339
139.021	24.059
45.266	122.381
170.223	81.482
126.967	123.102
132.156	106.589
33.244	141.213
34.133	43.089
37.303	39.037
26.123	34.073
142.794	95.504
39.194	61.258
137.898	111.659
121.987	120.881
44.079	53.32
159.588	96.225
71.596	67.476
34.199	161.033
161.093	122.525
121.821	157.371
65.105	119.197
94.166	62.172
45.418	53.039
110.929	127.252
171.555	133.85
97.382	30.147
162.558	79.19
25.25	118.137
40.061	38.128
137.72	90.28
111.37	76.735
134.455	85.335
90.848	79.275
109.832	73.485
110.864	178.468
145.422	144.104
129.833	18.072
46.101	68.114
32.221	49.126
145.342	67.146
141.644	29.2
157.183	86.281
114.188	175.218
173.491	81.06
131.76	20.057
70.206	65.486
48.221	116.006
50.384	136.273
120.465	116.107
37.261	137.147
33.068	111.291
108.014	81.326
129.376	160.264
52.503	32.288
147.93	148.344
121.77	124.437
111.508	176.027
60.021	123.905
108.528	94.356
95.534	63.279
161.704	79.034
139.89	142.244
112.539	94.068
107.782	69.427
176.744	45.13
29.092	31.088
84.811	128.526
37.109	54.125
91.742	125.985
151.072	161.217
113.486	162.724
60.451	122.289
59.364	33.059
117.113	62.273
121.109	170.881
144.187	74.004
121.526	165.278
90.674	121.42
126.239	165.884
129.55	110.336
28.243	117.039
61.174	106.193
161.146	99.588
85.157	136.342
60.134	129.595
112.491	93.384
107.404	176.444
27.155	132.551
42.419	46.097
172.047	90.664
130.755	21.2
36.287	74.321
138.073	28.05
47.369	51.475
90.639	46.028
57.143	41.288
34.268	118.425
147.783	56.012
161.763	91.227
71.279	71.592
157.246	125.142
175.516	96.49
78.138	131.661
27.179	30.087
165.89	49.457
34.287	35.199
85.381	82.495
104.391	35.13
177.24	87.56
77.258	125.212
130.755	22.027
125.064	117.695
62.222	129.206
26.217	37.056
34.137	116.067
126.07	129.874
165.308	138.179
161.035	140.925
107.369	98.449
149.611	153.012
107.454	89.179
111.398	69.075
43.195	34.315
131.862	125.583
169.44	128.478
112.769	57.212
45.275	124.193
71.065	65.488
48.111	48.277
40.354	129.07
174.465	95.316
64.593	146.173
127.211	155.158
75.747	126.837
89.338	77.413
46.079	47.079
41.049	127.291
85.482	134.188
62.611	36.23
140.163	143.546
113.247	122.839
167.31	91.145
130.101	161.484
113.455	83.578
144.52	103.222
141.249	90.544
38.194	79.619
48.302	131.184
28.023	135.284
137.85	69.207
48.105	139.514
39.153	133.086
28.068	113.876
71.506	74.707
31.005	167.91
78.509	134.796
166.332	96.611
112.872	63.12
147.315	155.663
162.347	50.339
166.884	86.505
143.051	51.444
69.442	93.485
44.272	123.248
140.352	164.625
59.192	148.422
130.216	101.078
69.278	108.5
117.076	58.005
117.819	131.281
26.223	140.09
41.4	53.246
109.384	177.608
87.542	128.809
174.726	91.118
171.201	134.616
80.164	48.234
33.108	74.678
142.353	89.349
47.362	52.282
144.793	101.171
101.091	97.899
78.442	133.766
146.307	88.533
57.532	133.786
30.064	161.526
138.882	112.099
154.357	127.025
26.03	117.048
135.255	111.412
29.113	44.418
85.373	86.762
135.223	151.77
40.096	140.158
175.121	93.661
113.36	53.166
81.157	134.027
150.479	170.647
165.532	54.389
143.185	146.706
33.121	75.177
102.309	91.559
57.491	133.09
45.406	73.388
108.298	80.167
104.356	106.879
137.377	107.657
118.771	167.481
34.057	152.486
140.01	81.667
138.111	57.094
117.568	136.336
123.572	117.856
60.217	143.169
33.037	35.038
140.109	82.101
137.307	29.154
69.638	65.315
63.062	124.092
142.293	154.069
80.295	47.371
89.755	127.366
143.33	44.301
116.673	173.744
57.178	145.253
39.298	130.084
111.038	53.471
140.822	100.65
166.314	128.235
48.297	30.22
24.03	156.521
136.008	21.054
49.22	121.117
131.658	147.11
138.724	83.632
162.061	94.311
162.82	129.881
120.078	132.463
63.14	128.197
143.189	144.734
74.71	68.113
135.312	149.109
147.187	164.278
24.238	107.239
169.523	136.712
127.109	155.334
60.403	106.358
35.259	39.312
137.992	148.036
97.226	34.063
42.419	123.056
141.382	33.102
88.079	123.518
108.031	128.094
34.048	156.298
141.342	49.029
28.188	142.24
129.337	119.011
105.412	107.841
25.239	168.447
42.17	122.793
82.216	114.473
33.02	142.412
162.148	83.76
168.121	99.866
36.192	118.074
113.973	59.463
66.042	98.968
50.396	136.021
106.032	105.091
90.797	51.352
171.396	84.051
77.092	54.095
110.078	134.858
135.792	149.803
143.116	156.797
146.091	80.079
158.493	85.536
38.163	50.446
161.459	48.126
128.844	111.682
34.29	164.801
88.473	76.042
86.72	76.325
116.142	135.093
174.085	77.361
66.253	115.814
140.568	56.245
144.675	56.341
57.208	124.436
166.393	93.926
102.832	33.273
158.48	94.604
48.225	129.119
92.134	57.419
44.135	33.252
126.624	121.844
65.482	29.048
142.11	105.013
104.609	89.37
134.186	18.038
29.168	37.281
39.154	58.344
142.654	160.135
32.083	138.439
113.795	76.608
28.056	120.09
50.237	129.126
93.222	62.493
39.312	69.569
103.963	173.396
121.925	161.183
42.324	66.401
139.314	58.28
164.343	129.075
165.828	87.21
60.487	106.244
86.269	139.629
137.58	145.206
74.603	63.033
95.103	57.564
169.447	46.076
141.248	19.188
80.01	118.42
51.084	118.95
131.842	123.008
61.011	123.517
59.282	135.668
132.582	107.614
38.367	57.411
133.468	113.233
25.161	154.47
71.232	55.145
103.401	164.593
54.031	113.233
166.194	131.249
140.075	38.038
138.847	60.016
147.295	33.108
143.346	103.557
44.227	78.533
30.043	166.306
108.934	93.72
43.388	131.166
32.174	34.201
74.73	55.02
32.093	152.187
173.59	131.202
114.237	55.32
55.347	135.033
124.839	169.345
140.072	77.638
137.546	62.377
147.501	37.348
25.008	33.174
113.561	72.64
33.095	46.102
94.018	58.189
112.658	89.851
44.435	71.039
165.009	123.014
36.334	31.176
71.572	102.107
51.472	33.034
138.581	104.29
139.022	161.025
150.488	161.322
110.037	166.375
103.946	29.262
77.385	52.077
114.645	63.132
120.891	114.025
100.99	36.35
112.047	125.712
75.242	70.668
73.024	97.722
136.623	87.299
34.159	81.218
44.295	33.054
113.483	175.226
143.629	40.06
72.362	74.527
38.174	73.677
54.13	34.019
111.071	166.076
109.817	163.645
112.824	67.324
143.623	91.647
60.564	105.116
102.728	100.101
32.25	135.039
47.033	53.388
167.505	92.08
89.689	66.386
87.513	120.731
50.198	119.156
32.075	163.004
114.652	127.068
49.135	139.018
110.536	71.449
38.112	32.174
128.643	120.87
29.066	43.076
52.394	40.283
35.162	142.824
165.138	94.07
142.144	67.218
100.367	39.182
168.855	125.704
34.328	34.102
36.158	32.253
44.201	46.135
39.304	50.347
35.294	138.094
94.439	71.317
45.167	42.189
51.395	41.197
138.81	35.207
114.84	57.103
75.096	127.172
27.013	143.775
110.133	77.024
141.205	70.383
171.663	126.483
96.689	33.077
169.682	91.326
31.092	165.003
67.294	95.44
143.343	76.208
57.542	29.108
44.074	51.131
130.158	124.987
28.241	125.443
36.237	33.286
172.099	129.444
144.494	49.221
64.424	94.922
33.16	139.616
