Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
SP_PIR_KEYWORDS	dna repair	6	8.0	4.162797683690997E-4	DDB2, PRKDC, TOPBP1, SMC1A, SMC3, RAD51	66	173	17854	9.38202837624803	0.045164948622212875	0.0038439824523637256	0.4700978129119071
UP_SEQ_FEATURE	compositionally biased region:Ala/Asp-rich (DA-box)	3	4.0	4.196807952682229E-4	SMC1A, SMC2, SMC3	64	8	16021	93.873046875	0.1131273682189391	0.029567543448741018	0.5553011020265508
GOTERM_BP_FAT	GO:0022403~cell cycle phase	8	10.666666666666668	4.6811053017160794E-4	CDC6, HAUS7, TOPBP1, SMC1A, SMC2, SMC3, CDC25A, RAD51	59	328	13588	5.617197188921042	0.21352703094000247	0.01701058137849243	0.6744051062067213
SP_PIR_KEYWORDS	mitosis	6	8.0	4.8642206746216517E-4	CDC6, HAUS7, SMC1A, SMC2, SMC3, CDC25A	66	179	17854	9.067546978161502	0.05257356424604798	0.004145689375026795	0.5491097163954017
GOTERM_BP_FAT	GO:0016568~chromatin modification	7	9.333333333333334	4.902112866111551E-4	HUWE1, KDM2A, EZH2, PHF15, RBL1, CTCF, ATXN7L3	59	236	13588	6.831083022120081	0.22239768517437597	0.016629513940800922	0.7061406850777829
GOTERM_MF_FAT	GO:0005524~ATP binding	15	20.0	5.144020562439257E-4	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1443	13288	2.7625779625779625	0.06854346197376004	0.014100788931358355	0.6037371628543897
GOTERM_MF_FAT	GO:0032559~adenyl ribonucleotide binding	15	20.0	5.795260462764588E-4	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1460	13288	2.7304109589041095	0.07688160154509327	0.01324447260380579	0.6799327724441584
GOTERM_BP_FAT	GO:0045449~regulation of transcription	21	28.000000000000004	5.936553720881416E-4	E2F1, E2F3, RBL1, ARID4B, EZH2, CTCF, MCM2, DAXX, MCM4, MXD3, ATXN7L3, CBX5, MCM6, MYCN, MCM7, KDM2A, CASP8AP2, RFC1, CSRNP1, USP49, MYC	59	2227	13588	2.1717138660354816	0.2626079977530955	0.018859616732224138	0.8545557748654065
UP_SEQ_FEATURE	domain:Leucine-zipper	5	6.666666666666667	8.275756886479541E-4	E2F1, E2F3, PRKDC, MYC, MYCN	64	107	16021	11.697575934579438	0.2108387757933291	0.04625308197349309	1.0922742454085976
GOTERM_MF_FAT	GO:0030554~adenyl nucleotide binding	15	20.0	9.584761752127008E-4	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1535	13288	2.59700325732899	0.1239509017596141	0.01872716074769365	1.1222482305437431
GOTERM_MF_FAT	GO:0001883~purine nucleoside binding	15	20.0	0.0010420540192581469	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1548	13288	2.5751937984496123	0.13400698150237322	0.017824042637885507	1.2195584336718301
INTERPRO	IPR003593:ATPase, AAA+ type, core	5	6.666666666666667	0.0010690704590058018	CDC6, MCM7, RFC1, MCM4, RAD51	59	138	17763	10.90825350036846	0.16804629227269674	0.036126961544286185	1.299011243975312
GOTERM_MF_FAT	GO:0001882~nucleoside binding	15	20.0	0.0011104996591890977	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1558	13288	2.5586649550706033	0.1421569378500741	0.016892811982180067	1.2991848410595197
GOTERM_BP_FAT	GO:0051301~cell division	7	9.333333333333334	0.0012178358826146066	CDC6, HAUS7, SMC1A, SMC2, DAXX, SMC3, CDC25A	59	281	13588	5.737137342421135	0.4648084390328221	0.036104492161755264	1.7457178811864038
GOTERM_BP_FAT	GO:0000280~nuclear division	6	8.0	0.0012750168137359598	CDC6, HAUS7, SMC1A, SMC2, SMC3, CDC25A	59	190	13588	7.272792149866191	0.48029865245202974	0.03570803760266983	1.8269829777894597
GOTERM_BP_FAT	GO:0007067~mitosis	6	8.0	0.0012750168137359598	CDC6, HAUS7, SMC1A, SMC2, SMC3, CDC25A	59	190	13588	7.272792149866191	0.48029865245202974	0.03570803760266983	1.8269829777894597
GOTERM_BP_FAT	GO:0006974~response to DNA damage stimulus	7	9.333333333333334	0.001357058307593831	DTL, DDB2, PRKDC, TOPBP1, SMC1A, SMC3, RAD51	59	287	13588	5.617197188921042	0.5017452127707246	0.03600142107642201	1.9434704422337634
GOTERM_BP_FAT	GO:0000087~M phase of mitotic cell cycle	6	8.0	0.0013983568977777082	CDC6, HAUS7, SMC1A, SMC2, SMC3, CDC25A	59	194	13588	7.1228376725493625	0.5122045482459305	0.03525644190140076	2.0020599788435067
GOTERM_BP_FAT	GO:0048285~organelle fission	6	8.0	0.0014964922020228703	CDC6, HAUS7, SMC1A, SMC2, SMC3, CDC25A	59	197	13588	7.014368063322722	0.5361877778333954	0.03592342003329696	2.141152010610914
SP_PIR_KEYWORDS	nucleotide-binding	15	20.0	0.001897194022918122	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	66	1631	17854	2.487876929937016	0.1900546908966143	0.014943545490937238	2.1261846941758256
SMART	SM00382:AAA	5	6.666666666666667	0.0020216821411298286	CDC6, MCM7, RFC1, MCM4, RAD51	37	138	9131	8.941441441441443	0.07214327980947033	0.03674680369565886	1.8007269851837426
SP_PIR_KEYWORDS	cell division	6	8.0	0.0023895794373452353	CDC6, HAUS7, SMC1A, SMC2, SMC3, CDC25A	66	256	17854	6.340198863636364	0.2332241273537995	0.017548252973829004	2.6712227564919866
GOTERM_MF_FAT	GO:0003682~chromatin binding	5	6.666666666666667	0.0025096078572937074	CDC6, ARID4B, EZH2, SMC1A, CBX5	50	155	13288	8.572903225806451	0.2930258550411845	0.03408179124737454	2.9140249237354476
GOTERM_BP_FAT	GO:0006281~DNA repair	6	8.0	0.002523182265933755	DDB2, PRKDC, TOPBP1, SMC1A, SMC3, RAD51	59	222	13588	6.224461749885479	0.7263836260267071	0.05720873690371542	3.5853543546267685
GOTERM_BP_FAT	GO:0000278~mitotic cell cycle	6	8.0	0.003785187513571011	CDC6, HAUS7, SMC1A, SMC2, SMC3, CDC25A	59	244	13588	5.663239788830231	0.8570821851832595	0.08110767384438167	5.333383116417112
GOTERM_MF_FAT	GO:0003678~DNA helicase activity	3	4.0	0.003785728305256529	MCM7, MCM4, MCM6	50	25	13288	31.891199999999998	0.407510364521799	0.04646944465765723	4.365794457367778
GOTERM_MF_FAT	GO:0000166~nucleotide binding	17	22.666666666666664	0.003910854570170683	CDC6, GM5643, PRKDC, PKMYT1, MCM2, HNRNPA1, SMC2, MCM4, SMC3, RAD51, MCM6, DDX17, MCM7, RFC1, CPSF7, ASNA1, SMC1A, SIK2	50	2183	13288	2.0695923041685753	0.41769215649473834	0.044062746529627606	4.507068727904395
GOTERM_MF_FAT	GO:0032555~purine ribonucleotide binding	15	20.0	0.004298177587891286	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1796	13288	2.2195991091314027	0.44812124326607905	0.044695504806750774	4.943167643726776
GOTERM_MF_FAT	GO:0032553~ribonucleotide binding	15	20.0	0.004298177587891286	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1796	13288	2.2195991091314027	0.44812124326607905	0.044695504806750774	4.943167643726776
GOTERM_CC_FAT	GO:0005819~spindle	4	5.333333333333334	0.005036391559820554	CDC6, HAUS7, MYC, SMC3	41	109	12504	11.191765495636607	0.44046457977288445	0.05141722343406041	5.589090261386587
GOTERM_CC_FAT	GO:0043228~non-membrane-bounded organelle	14	18.666666666666668	0.005193872636209539	CDC6, ARID4B, TOPBP1, MCM2, DAXX, SMC2, SMC3, CBX5, RAD51, RPA2, RFC1, HAUS7, SMC1A, MYC	41	1919	12504	2.2249393103623585	0.45055790214493596	0.048679560931400134	5.75916546941232
GOTERM_CC_FAT	GO:0043232~intracellular non-membrane-bounded organelle	14	18.666666666666668	0.005193872636209539	CDC6, ARID4B, TOPBP1, MCM2, DAXX, SMC2, SMC3, CBX5, RAD51, RPA2, RFC1, HAUS7, SMC1A, MYC	41	1919	12504	2.2249393103623585	0.45055790214493596	0.048679560931400134	5.75916546941232
SP_PIR_KEYWORDS	chromatin regulator	5	6.666666666666667	0.005264795913902069	KDM2A, EZH2, RBL1, CTCF, ATXN7L3	66	192	17854	7.044665404040404	0.443415412370339	0.035958569434600185	5.799023896582711
GOTERM_MF_FAT	GO:0017076~purine nucleotide binding	15	20.0	0.006222907307846245	CDC6, PRKDC, PKMYT1, MCM2, SMC2, MCM4, SMC3, MCM6, RAD51, DDX17, MCM7, RFC1, SMC1A, ASNA1, SIK2	50	1871	13288	2.130625334045965	0.5774486669542058	0.059676899328834576	7.083376235869632
GOTERM_BP_FAT	GO:0051327~M phase of meiotic cell cycle	4	5.333333333333334	0.006264906526594557	TOPBP1, SMC1A, SMC3, RAD51	59	88	13588	10.468412942989215	0.960204708450842	0.125701660053256	8.682488714113001
GOTERM_BP_FAT	GO:0007126~meiosis	4	5.333333333333334	0.006264906526594557	TOPBP1, SMC1A, SMC3, RAD51	59	88	13588	10.468412942989215	0.960204708450842	0.125701660053256	8.682488714113001
GOTERM_BP_FAT	GO:0051321~meiotic cell cycle	4	5.333333333333334	0.006666876879158024	TOPBP1, SMC1A, SMC3, RAD51	59	90	13588	10.23578154425612	0.9676635267853395	0.12825853085042604	9.214885685712993
GOTERM_BP_FAT	GO:0051172~negative regulation of nitrogen compound metabolic process	7	9.333333333333334	0.007059681021798293	GMNN, RBL1, DAXX, HTR2C, MYC, MXD3, CBX5	59	401	13588	4.02028826239486	0.9736018297182978	0.13045652404220864	9.73234994768475
GOTERM_BP_FAT	GO:0033554~cellular response to stress	7	9.333333333333334	0.0073126545822061115	DTL, DDB2, PRKDC, TOPBP1, SMC1A, SMC3, RAD51	59	404	13588	3.9904346366840073	0.9768364499476833	0.13016430287340408	10.064152254164306
GOTERM_MF_FAT	GO:0016564~transcription repressor activity	5	6.666666666666667	0.007492577143143735	RFC1, CASP8AP2, EZH2, DAXX, CBX5	50	211	13288	6.297630331753554	0.6457911878679348	0.06685179691392562	8.470954443951817
GOTERM_CC_FAT	GO:0000794~condensed nuclear chromosome	3	4.0	0.0079243286569167	TOPBP1, SMC3, RAD51	41	42	12504	21.78397212543554	0.5994544140007548	0.06795954031186335	8.663901677676778
UP_SEQ_FEATURE	region of interest:Cyclin A/CDK2 binding	2	2.666666666666667	0.011751418001022525	E2F1, E2F3	64	3	16021	166.88541666666666	0.9659800899742575	0.4307685850007872	14.513594025701194
SP_PIR_KEYWORDS	ubl conjugation	7	9.333333333333334	0.011887996446068725	GM5643, CASP8AP2, DDB2, TOPBP1, CTCF, DAXX, HNRNPA1, CDC25A	66	524	17854	3.6137520240573675	0.7348537808989246	0.07511576085808969	12.658440698992035
GOTERM_MF_FAT	GO:0004386~helicase activity	4	5.333333333333334	0.011898156618027593	DDX17, MCM7, MCM4, MCM6	50	129	13288	8.240620155038759	0.8082939089705099	0.09808679714198254	13.139933163285322
PIR_SUPERFAMILY	PIRSF019596:transcription factor E2F	2	2.666666666666667	0.012486083447971337	E2F1, E2F3	35	3	8136	154.97142857142856	0.41004968824917964	0.23191777018940196	10.977940057719337
SP_PIR_KEYWORDS	repressor	6	8.0	0.0138578127422719	CASP8AP2, KDM2A, EZH2, RBL1, CTCF, MXD3	66	391	17854	4.151127644733783	0.7875343345879805	0.08245546424608885	14.60879891462773
