RPS13	ENSG00000110700
SRP19	ENSG00000153037
TLK2	ENSG00000146872
RBMX	ENSG00000147274
UQCRC2	ENSG00000140740
PEX16	ENSG00000121680
TRIM44	ENSG00000166326
GAPVD1	ENSG00000165219
CASP9	ENSG00000132906
TCEA1	ENSG00000187735
ABCF1	ENSG00000236149
THAP4	ENSG00000176946
TCF20	ENSG00000262024
GLTSCR2	ENSG00000105373
POLR2G	ENSG00000168002
PSMC5	ENSG00000087191
CTDSP2	ENSG00000175215
DAD1	ENSG00000129562
SEC24C	ENSG00000176986
LRRC47	ENSG00000130764
PRKAR2A	ENSG00000114302
RAF1	LRG_413
PGAM1	ENSG00000171314
HADHA	ENSG00000084754
AMZ2	ENSG00000196704
TJAP1	ENSG00000137221
IDH3B	ENSG00000101365
TMEM9B	ENSG00000175348
NIPA2	ENSG00000140157
RNF4	ENSG00000063978
ARL6IP4	ENSG00000182196
ARIH1	ENSG00000166233
GCC1	ENSG00000179562
SPCS2	ENSG00000118363
ATP5J2	ENSG00000241468
COX8A	ENSG00000176340
RBMX2	ENSG00000134597
NDUFV1	ENSG00000167792
RPL11	ENSG00000142676
ADAR	ENSG00000160710
ATP5G3	ENSG00000154518
LAPTM4A	ENSG00000068697
NCOA6	ENSG00000198646
TOR1A	ENSG00000136827
ACTR1B	ENSG00000115073
ATP6V1G1	ENSG00000136888
ZNF410	ENSG00000119725
UBE2E1	ENSG00000170142
VTI1B	ENSG00000100568
FARS2	ENSG00000145982
CPSF3L	ENSG00000127054
MAP3K7	ENSG00000135341
ZDHHC6	ENSG00000023041
NDUFB4	ENSG00000065518
PMPCB	ENSG00000105819
FTL	ENSG00000087086
ANKRD17	ENSG00000132466
GPR107	ENSG00000269797
OSBPL9	ENSG00000117859
FBXO34	ENSG00000178974
EXOC7	ENSG00000182473
WDR48	ENSG00000114742
MYL6	ENSG00000092841
EIF2S1	ENSG00000134001
IK	ENSG00000113141
AURKAIP1	ENSG00000175756
SDHA	ENSG00000073578
OS9	ENSG00000135506
PIK3C3	ENSG00000078142
SUPT5H	ENSG00000196235
STX8	ENSG00000170310
NOL7	ENSG00000225921
SRP9	ENSG00000143742
RING1	ENSG00000235107
SERBP1	ENSG00000142864
PNRC2	ENSG00000189266
BSDC1	ENSG00000160058
MAPRE1	ENSG00000101367
UBAP2L	ENSG00000143569
WAC	ENSG00000095787
OSBP	ENSG00000110048
CIAPIN1	ENSG00000005194
COPS4	ENSG00000138663
ESD	ENSG00000139684
GOSR1	ENSG00000108587
SNRPB2	ENSG00000125870
EIF2B4	ENSG00000115211
MUS81	ENSG00000172732
RPP30	ENSG00000148688
PABPN1	ENSG00000100836
GABARAPL2	ENSG00000034713
NDUFA9	ENSG00000139180
DDX46	ENSG00000145833
CXorf40A	ENSG00000268314
SF3B5	ENSG00000169976
RPL36	ENSG00000130255
XPNPEP1	ENSG00000108039
TTC19	ENSG00000011295
MRPL18	ENSG00000112110
GPX4	ENSG00000167468
AP3S2	ENSG00000157823
SDF2	ENSG00000132581
ZNF706	ENSG00000120963
FAM21C	ENSG00000265551
NDUFB1	ENSG00000183648
FAM21B	ENSG00000152726
POM121	ENSG00000262122
NIT1	ENSG00000158793
UBAP2	ENSG00000137073
FIBP	ENSG00000172500
RPP38	ENSG00000152464
PSMD7	ENSG00000103035
AKAP8	ENSG00000105127
WDR26	ENSG00000162923
RAB1A	ENSG00000138069
APEX1	ENSG00000100823
ZNF263	ENSG00000006194
UBE2V1	ENSG00000244687
RPS19	ENSG00000105372
YBX1	ENSG00000065978
TEX261	ENSG00000272125
NPM1	LRG_458
GTF2A2	ENSG00000140307
KPNB1	ENSG00000108424
POP4	ENSG00000105171
PCBP1	ENSG00000169564
CRKL	ENSG00000099942
GPKOW	ENSG00000268675
CDC5L	ENSG00000096401
HSBP1	ENSG00000230989
PTMA	ENSG00000187514
CSNK1D	ENSG00000141551
ATP6V1F	ENSG00000128524
SLC25A6	ENSG00000169100
ATG4B	ENSG00000168397
SMAD2	ENSG00000175387
CHERP	ENSG00000085872
TMEM59	ENSG00000116209
SNF8	ENSG00000159210
UQCRH	ENSG00000173660
ARF4	ENSG00000168374
SH3GLB1	ENSG00000097033
MLH1	LRG_216
CDIPT	ENSG00000103502
CLTA	ENSG00000122705
RER1	ENSG00000157916
PCNP	ENSG00000081154
CHD4	ENSG00000111642
MDH2	ENSG00000262847
HMGN4	ENSG00000182952
EIF2B2	ENSG00000119718
ZDHHC3	ENSG00000163812
EIF2B5	ENSG00000145191
RUFY1	ENSG00000176783
PTDSS1	ENSG00000156471
TAF10	ENSG00000166337
SPAG7	ENSG00000091640
SSR2	ENSG00000163479
TIMM9	ENSG00000100575
STAMBP	ENSG00000124356
TAF7	ENSG00000178913
DNPEP	ENSG00000123992
NDUFAB1	ENSG00000004779
ERAL1	ENSG00000132591
RIC8A	ENSG00000177963
ACP1	ENSG00000143727
FNTA	ENSG00000168522
TOMM20	ENSG00000173726
SLC25A5	ENSG00000005022
PCBP2	ENSG00000197111
ASH2L	ENSG00000129691
RPS14	ENSG00000164587
SUB1	ENSG00000113387
PRPF8	ENSG00000174231
COX6A1	ENSG00000111775
EXOSC7	ENSG00000075914
SLC25A36	ENSG00000114120
DCUN1D1	ENSG00000043093
CYCS	ENSG00000172115
ZNF638	ENSG00000075292
KIAA0586	ENSG00000100578
PPP1R7	ENSG00000115685
ZNF212	ENSG00000170260
HDGF	ENSG00000143321
MRPS18A	ENSG00000096080
NDUFS2	ENSG00000158864
AP2A2	ENSG00000183020
ACAA1	ENSG00000060971
STX18	ENSG00000168818
RPS21	ENSG00000171858
TM2D3	ENSG00000184277
BRE	ENSG00000158019
ATP5I	ENSG00000169020
CSNK2A1	ENSG00000101266
KIAA0391	ENSG00000100890
FN3KRP	ENSG00000141560
UBAP1	ENSG00000165006
NDUFB5	ENSG00000136521
