HGNC symbol	Ensembl Gene ID
OMP	ENSG00000261941
PFKL	ENSG00000141959
PMP2	ENSG00000147588
FABP4	ENSG00000170323
MYH7B	ENSG00000078814
KPNA2	ENSG00000262472
PHF20	ENSG00000025293
CPSF1	ENSG00000261230
CTSL	ENSG00000135047
APBA1	ENSG00000107282
AMZ2	ENSG00000262747
SAGE1	ENSG00000181433
SLC44A4	ENSG00000203463
DGAT1	ENSG00000185000
IMPA1	ENSG00000133731
SMCHD1	ENSG00000101596
PPP1R11	ENSG00000233314
SQLE	ENSG00000104549
PKD1	ENSG00000008710
MFNG	ENSG00000100060
SLC45A2	ENSG00000164175
RNF39	ENSG00000236967
SLC16A6	ENSG00000262275
MICB	ENSG00000234218
DMC1	ENSG00000100206
TRIM31	ENSG00000224542
GOLGA5	ENSG00000066455
ATP6V0C	ENSG00000185883
XPO4	ENSG00000132953
TNXA	ENSG00000248352
PGK1	ENSG00000102144
TRIM10	ENSG00000237703
UGT2B17	ENSG00000197888
LY6G6D	ENSG00000225993
OR1F1	ENSG00000168124
TERT	ENSG00000164362
TXNRD2	ENSG00000184470
TRIM15	ENSG00000235259
RAD1	ENSG00000113456
ANKRD26	ENSG00000107890
TRPC4AP	ENSG00000100991
ALG9	ENSG00000262577
HUNK	ENSG00000142149
CORO2B	ENSG00000103647
GPKOW	ENSG00000068394
ZNF200	ENSG00000010539
MCM10	ENSG00000065328
STX17	ENSG00000136874
FKBPL	ENSG00000224200
CLUAP1	ENSG00000103351
TRIM26	ENSG00000228881
MYO1F	ENSG00000262149
TAPBP	ENSG00000206281
PSORS1C2	ENSG00000224544
RPL34	ENSG00000109475
MMRN1	ENSG00000138722
CLIC1	ENSG00000230685
EXOSC9	ENSG00000123737
PPT2	ENSG00000227600
UGT2B15	ENSG00000196620
NEUROG3	ENSG00000122859
MADCAM1	ENSG00000099866
SCAND1	ENSG00000171222
ANP32A	ENSG00000140350
CARD10	ENSG00000100065
FSTL3	ENSG00000070404
MMP25	ENSG00000008516
DLEU1	ENSG00000176124
YWHAZ	ENSG00000164924
ZNF532	ENSG00000074657
DSP	ENSG00000096696
IL13RA1	ENSG00000131724
C6orf25	ENSG00000228090
AMACR	ENSG00000242110
DENND1A	ENSG00000119522
WDR70	ENSG00000082068
SLC1A3	ENSG00000079215
SLC25A16	ENSG00000122912
TOMM22	ENSG00000100216
ATP6V1G2	ENSG00000206445
RPP21	ENSG00000241779
ALDH1A2	ENSG00000128918
TAS2R1	ENSG00000169777
TAPBPL	ENSG00000139192
ADH1A	ENSG00000187758
BLNK	ENSG00000262509
ARPC4	ENSG00000241553
FGF23	ENSG00000118972
NEU1	ENSG00000227129
SH3GL2	ENSG00000107295
NQO2	ENSG00000124588
CSTF2T	ENSG00000177613
OBP2B	ENSG00000261059
KIAA1279	ENSG00000198954
GNL1	ENSG00000206412
KRTAP9-9	ENSG00000262594
DKK1	ENSG00000107984
PJA2	ENSG00000198961
CD226	ENSG00000150637
CCHCR1	ENSG00000234114
SLC9A6	ENSG00000198689
KIAA0196	ENSG00000164961
C19orf26	ENSG00000099625
CXCL14	ENSG00000145824
MT1G	ENSG00000125144
RABEP2	ENSG00000177548
DHX16	ENSG00000227222
NFKBIL1	ENSG00000206440
HLA-DPA1	ENSG00000231389
MYO1F	ENSG00000142347
GNAS	ENSG00000087460
C14orf79	ENSG00000140104
CORO1A	ENSG00000102879
EPB41L1	ENSG00000088367
ACTL7B	ENSG00000148156
LY6G6C	ENSG00000235452
ATRN	ENSG00000088812
GUCA1B	ENSG00000112599
AMDHD2	ENSG00000162066
SLC2A9	ENSG00000109667
RNF39	ENSG00000204618
ZNF7	ENSG00000147789
PBX2	ENSG00000237344
FBXO7	ENSG00000100225
DERA	ENSG00000023697
MEOX2	ENSG00000106511
MAN2A1	ENSG00000112893
KREMEN2	ENSG00000131650
UGT2A3	ENSG00000135220
DDAH2	ENSG00000233076
ANKRD1	ENSG00000148677
HINT1	ENSG00000169567
ZFAND1	ENSG00000104231
HSF4	ENSG00000102878
TOLLIP	ENSG00000078902
MAK	ENSG00000111837
C21orf2	ENSG00000160226
TWIST1	ENSG00000122691
ASF1B	ENSG00000105011
CDC34	ENSG00000099804
CHGA	ENSG00000100604
CDC42EP1	ENSG00000128283
NEFL	ENSG00000104725
HLA-A	ENSG00000206505
MT1H	ENSG00000205358
SEC24D	ENSG00000150961
LTA	ENSG00000173503
GYS2	ENSG00000111713
MBL2	ENSG00000165471
MCTP1	ENSG00000175471
EMILIN2	ENSG00000132205
RPA3	ENSG00000106399
R3HCC1	ENSG00000104679
CDC42EP2	ENSG00000149798
FGB	ENSG00000171564
SLC27A3	ENSG00000263163
CREBL2	ENSG00000111269
HLA-DPB1	ENSG00000223865
COL11A2	ENSG00000235708
FBXO4	ENSG00000151876
MRPS10	ENSG00000048544
LGALS2	ENSG00000100079
ABO	ENSG00000256062
DRD5	ENSG00000169676
UNC13B	ENSG00000198722
MDC1	ENSG00000234012
DKK2	ENSG00000155011
ZZEF1	ENSG00000074755
SEMA3E	ENSG00000170381
ABCA3	ENSG00000167972
COMT	ENSG00000093010
TRGV5	ENSG00000211697
DPF2	ENSG00000133884
SLC44A4	ENSG00000229077
BMP4	ENSG00000125378
VPS33B	ENSG00000184056
GTPBP1	ENSG00000100226
GPR19	ENSG00000183150
RPL26	ENSG00000161970
MBNL2	ENSG00000139793
PCDHGB4	ENSG00000253953
PPA2	ENSG00000138777
CHST1	ENSG00000175264
COL13A1	ENSG00000197467
DAXX	ENSG00000206279
CTNNA3	ENSG00000183230
ADH1B	ENSG00000196616
AGER	ENSG00000204305
RRAGD	ENSG00000025039
TRRAP	ENSG00000261023
NANOG	ENSG00000111704
CYP39A1	ENSG00000146233
LDHB	ENSG00000111716
MYO6	ENSG00000196586
KIF18A	ENSG00000121621
PHOX2B	ENSG00000109132
TRERF1	ENSG00000124496
SLC1A2	ENSG00000110436
KCTD15	ENSG00000153885
TMEM40	ENSG00000088726
TNF	ENSG00000206439
PPP1R14B	ENSG00000173457
C8G	ENSG00000176919
GGA1	ENSG00000100083
HERC2	ENSG00000263162
ITPK1	ENSG00000100605
WDR1	ENSG00000071127
LTB	ENSG00000206437
LPIN2	ENSG00000101577
CLEC11A	ENSG00000105472
COL8A1	ENSG00000144810
APRT	ENSG00000198931
ACTL7A	ENSG00000187003
MMP13	ENSG00000137745
CCT5	ENSG00000150753
PLA2G3	ENSG00000100078
PSMD13	ENSG00000185627
GPR32	ENSG00000142511
MT1X	ENSG00000187193
PALM	ENSG00000099864
BCL7B	ENSG00000106635
TUBB	ENSG00000224156
GORASP1	ENSG00000114745
ART1	ENSG00000129744
SLC25A22	ENSG00000177542
PCDHGA9	ENSG00000261934
SND1	ENSG00000197157
SCYL2	ENSG00000136021
RNF185	ENSG00000138942
STEAP4	ENSG00000127954
RPL24	ENSG00000114391
CLIC1	ENSG00000226651
PCDHGB6	ENSG00000253305
IL9	ENSG00000145839
CHRNA10	ENSG00000129749
CDKL5	ENSG00000008086
RASSF8	ENSG00000123094
LPHN1	ENSG00000072071
FRY	ENSG00000073910
ANXA3	ENSG00000138772
NOX5	ENSG00000255346
COX5A	ENSG00000178741
RHOBTB1	ENSG00000072422
IFNGR1	ENSG00000027697
C11orf1	ENSG00000262176
CSTF3	ENSG00000176102
TRPM2	ENSG00000142185
PLCB3	ENSG00000149782
PPP1CC	ENSG00000186298
ZNF544	ENSG00000198131
IKBKAP	ENSG00000070061
GAST	ENSG00000260334
NUP93	ENSG00000102900
TRBV21-1	ENSG00000251578
NKX2-2	ENSG00000125820
C3orf37	ENSG00000183624
ZNF180	ENSG00000167384
TRBV19	ENSG00000260424
RPUSD2	ENSG00000166133
ELL	ENSG00000105656
RBP1	ENSG00000114115
FGF6	ENSG00000111241
GRP	ENSG00000134443
ING4	ENSG00000111653
HAP1	ENSG00000261125
SPHK2	ENSG00000063176
PIK3C3	ENSG00000078142
RPL3L	ENSG00000140986
KBTBD11	ENSG00000176595
VAMP1	ENSG00000139190
AMHR2	ENSG00000135409
PIWIL1	ENSG00000125207
EHMT2	ENSG00000236759
FARS2	ENSG00000145982
PROCR	ENSG00000101000
CGREF1	ENSG00000138028
PPY	ENSG00000108849
C12orf4	ENSG00000047621
U2AF1L4	ENSG00000161265
TWISTNB	ENSG00000105849
PAX1	ENSG00000125813
SLC39A4	ENSG00000261297
ABCB4	ENSG00000005471
REG1B	ENSG00000172023
CORO7	ENSG00000262246
MMP24	ENSG00000125966
KLK1	ENSG00000167748
TBL1X	ENSG00000101849
CDKN3	ENSG00000100526
IL32	ENSG00000008517
SLC30A3	ENSG00000115194
SUB1	ENSG00000113387
NNMT	ENSG00000166741
CDCA4	ENSG00000170779
PLXNB1	ENSG00000164050
TSC22D2	ENSG00000196428
FBXO42	ENSG00000037637
HSD17B6	ENSG00000025423
NUP205	ENSG00000155561
CNGB1	ENSG00000070729
ICAM2	ENSG00000108622
RPL35A	ENSG00000182899
CBR1	ENSG00000159228
ZZZ3	ENSG00000036549
FOXA2	ENSG00000125798
LST1	ENSG00000206433
ARHGAP26	ENSG00000145819
REG1A	ENSG00000115386
C1QL1	ENSG00000131094
CHRND	ENSG00000135902
GPR132	ENSG00000183484
RPH3A	ENSG00000089169
GPR45	ENSG00000135973
GFI1B	ENSG00000165702
SEMA3B	ENSG00000012171
YME1L1	ENSG00000136758
SSBP2	ENSG00000145687
CASC5	ENSG00000137812
TGFBRAP1	ENSG00000135966
ABCC1	ENSG00000103222
BLOC1S1	ENSG00000135441
CANX	ENSG00000127022
RAX	ENSG00000134438
GZMM	ENSG00000197540
FLOT1	ENSG00000223654
PCCB	ENSG00000114054
CRYAB	ENSG00000263007
PLSCR3	ENSG00000187838
LILRB1	ENSG00000104972
RAP2A	ENSG00000125249
PITX3	ENSG00000107859
MEFV	ENSG00000103313
ZNF10	ENSG00000256223
SKI	ENSG00000157933
MFAP4	ENSG00000166482
MXRA8	ENSG00000162576
TMEM33	ENSG00000109133
PPT2	ENSG00000206329
STAR	ENSG00000147465
NDUFV1	ENSG00000167792
CDKN1B	ENSG00000111276
YTHDF1	ENSG00000149658
DDR1	ENSG00000229767
SSTR4	ENSG00000132671
PRKRIP1	ENSG00000261283
CTBP2	ENSG00000175029
THBD	ENSG00000178726
BRIP1	ENSG00000136492
REG3A	ENSG00000172016
HIP1	ENSG00000127946
TRPV1	ENSG00000196689
MAGEA5	ENSG00000242520
BRAF	ENSG00000157764
CD81	ENSG00000110651
GRID2	ENSG00000152208
MYOM2	ENSG00000036448
GRINA	ENSG00000261721
SCRT1	ENSG00000170616
DLGAP4	ENSG00000080845
FOXN1	ENSG00000109101
GBF1	ENSG00000107862
SLAMF8	ENSG00000158714
TRIM36	ENSG00000152503
H1FX	ENSG00000184897
CHERP	ENSG00000085872
ARVCF	ENSG00000099889
LRRC17	ENSG00000128606
LIMK2	ENSG00000182541
SGCE	ENSG00000127990
MYOM1	ENSG00000101605
AQP9	ENSG00000103569
HSPB3	ENSG00000169271
MMP12	ENSG00000110347
PSME3	ENSG00000131467
CHRNG	ENSG00000196811
SEMA3A	ENSG00000075213
EPHB3	ENSG00000182580
MICB	ENSG00000231179
FHL2	ENSG00000115641
CASP8AP2	ENSG00000118412
NOS3	ENSG00000164867
LSM1	ENSG00000175324
FKBP11	ENSG00000134285
CTNNA2	ENSG00000066032
PTX3	ENSG00000163661
STEAP1	ENSG00000164647
RPP25	ENSG00000178718
LDHA	ENSG00000134333
PSMD12	ENSG00000197170
EIF4E2	ENSG00000135930
USP33	ENSG00000077254
HSD17B3	ENSG00000130948
AURKAIP1	ENSG00000175756
CDC42SE2	ENSG00000158985
KLK15	ENSG00000174562
PSG9	ENSG00000183668
ADH7	ENSG00000196344
MYL9	ENSG00000101335
TTLL3	ENSG00000214021
NECAP2	ENSG00000157191
CCDC19	ENSG00000213085
SLC44A1	ENSG00000070214
SUPT7L	ENSG00000119760
BAGE	ENSG00000268590
LIPC	ENSG00000166035
SCAMP5	ENSG00000198794
ABHD10	ENSG00000144827
PLP2	ENSG00000102007
TFRC	ENSG00000072274
SLC16A6	ENSG00000108932
IL1RAPL1	ENSG00000169306
EHMT2	ENSG00000238134
SOSTDC1	ENSG00000171243
NCK2	ENSG00000071051
RTN2	ENSG00000125744
NSUN3	ENSG00000178694
PYY	ENSG00000131096
AMPH	ENSG00000078053
TGIF2	ENSG00000118707
VARS	ENSG00000204394
KCTD13	ENSG00000174943
LIMD1	ENSG00000144791
MAGEF1	ENSG00000177383
FHIT	ENSG00000189283
PLOD2	ENSG00000152952
HCK	ENSG00000101336
MYOM2	ENSG00000260130
RER1	ENSG00000157916
PPT2	ENSG00000228116
ACE	ENSG00000159640
PCDHGA10	ENSG00000253846
NYX	ENSG00000188937
KRT9	ENSG00000171403
LECT2	ENSG00000145826
CDK2AP1	ENSG00000111328
OMG	ENSG00000126861
BAG4	ENSG00000156735
TAGLN2	ENSG00000158710
RNF103	ENSG00000239305
CTSF	ENSG00000174080
BSG	ENSG00000172270
GPR6	ENSG00000146360
SF3A2	ENSG00000104897
ICA1	ENSG00000003147
C20orf24	ENSG00000101084
CYSLTR1	ENSG00000173198
JAG2	ENSG00000184916
EFHD1	ENSG00000115468
PAPSS1	ENSG00000138801
GPR143	ENSG00000101850
CCNL2	ENSG00000221978
JUP	ENSG00000261577
LMAN1	ENSG00000074695
RRH	ENSG00000180245
ALOX12P2	ENSG00000262943
JRK	ENSG00000262023
WASF1	ENSG00000112290
WDR43	ENSG00000163811
ATP5D	ENSG00000099624
RBM7	ENSG00000076053
P2RY10	ENSG00000078589
GNS	ENSG00000135677
SPATA1	ENSG00000122432
IQSEC3	ENSG00000261772
NRN1	ENSG00000124785
UXS1	ENSG00000115652
BIRC7	ENSG00000101197
NUP98	ENSG00000110713
IL7R	ENSG00000168685
GALNS	ENSG00000141012
CNIH	ENSG00000100528
LOXL2	ENSG00000134013
TRIM31	ENSG00000204616
GCM1	ENSG00000137270
TNF	ENSG00000228978
SLC4A1AP	ENSG00000163798
PVR	ENSG00000073008
GDNF	ENSG00000168621
NLK	ENSG00000087095
LPP	ENSG00000145012
LTB	ENSG00000231314
SLC35C1	ENSG00000181830
DNAL4	ENSG00000100246
NLGN1	ENSG00000169760
CHKB	ENSG00000100288
KRT14	ENSG00000186847
HBBP1	ENSG00000229988
HOMER2	ENSG00000103942
UNC119	ENSG00000109103
NCAM1	ENSG00000262279
KIFC1	ENSG00000204197
NMT1	ENSG00000136448
ANKRD6	ENSG00000135299
SGPL1	ENSG00000166224
MBD4	ENSG00000129071
NPTXR	ENSG00000221890
NXT1	ENSG00000132661
ITM2A	ENSG00000078596
RPL7A	ENSG00000260501
PPM1G	ENSG00000115241
TLR3	ENSG00000164342
PEX10	ENSG00000157911
FHL1	ENSG00000022267
ERN1	ENSG00000178607
CROCC	ENSG00000058453
CRY2	ENSG00000121671
BRSK2	ENSG00000174672
SFXN3	ENSG00000107819
CBX6	ENSG00000183741
RIPK1	ENSG00000137275
SUCLG1	ENSG00000163541
UBE3B	ENSG00000151148
DHX34	ENSG00000134815
GHR	ENSG00000112964
HIPK3	ENSG00000110422
LST1	ENSG00000235915
SRR	ENSG00000167720
PSCA	ENSG00000262150
OCLN	ENSG00000197822
EVI2B	ENSG00000185862
NCBP1	ENSG00000136937
TBL2	ENSG00000106638
SYN3	ENSG00000185666
RS1	ENSG00000102104
CBR3	ENSG00000159231
TAS2R7	ENSG00000271906
SF1	ENSG00000168066
TAS2R8	ENSG00000271940
KRT16	ENSG00000186832
CD8A	ENSG00000153563
TRIM58	ENSG00000162722
TTTY2	ENSG00000212855
HPSE2	ENSG00000172987
GALNT14	ENSG00000158089
PPP2R2D	ENSG00000175470
SLC35D2	ENSG00000130958
SIPA1	ENSG00000213445
TAS2R9	ENSG00000271839
SERP1	ENSG00000120742
SOX30	ENSG00000039600
KCNJ10	ENSG00000177807
TTTY1	ENSG00000129845
FYB	ENSG00000082074
LONRF3	ENSG00000175556
STAT3	ENSG00000168610
TRIB2	ENSG00000071575
ZNF254	ENSG00000213096
NCOA1	ENSG00000084676
DDHD2	ENSG00000085788
ADAM10	ENSG00000137845
PRR4	ENSG00000263247
FXYD6	ENSG00000137726
KCNJ9	ENSG00000162728
DCUN1D1	ENSG00000043093
PRSS1	ENSG00000261473
YIPF4	ENSG00000119820
FAM50B	ENSG00000145945
RDH5	ENSG00000135437
GTF3C5	ENSG00000148308
ESM1	ENSG00000164283
RFPL1S	ENSG00000225465
APOBEC3A	ENSG00000128383
INVS	ENSG00000119509
ZNF85	ENSG00000262562
NEXN	ENSG00000162614
ZNF430	ENSG00000263249
DERL2	ENSG00000072849
PRSS2	ENSG00000262739
UGT2B28	ENSG00000135226
GCM2	ENSG00000124827
ASB6	ENSG00000148331
SMARCD2	ENSG00000108604
ZNRF4	ENSG00000105428
ADORA2A	ENSG00000128271
PARVA	ENSG00000197702
APOBEC3B	ENSG00000179750
SBNO1	ENSG00000139697
NCR3	ENSG00000236315
EVI2A	ENSG00000126860
TAOK1	ENSG00000160551
PCDHGA11	ENSG00000253873
SAFB2	ENSG00000130254
RBMS2	ENSG00000076067
PRKAR1A	ENSG00000108946
MFAP2	ENSG00000117122
ELOVL5	ENSG00000012660
PHYH	ENSG00000107537
SLC30A9	ENSG00000014824
WNT10B	ENSG00000169884
UPK1B	ENSG00000114638
AGPAT1	ENSG00000228892
TFAP2B	ENSG00000008196
GFRA4	ENSG00000125861
PMS2	ENSG00000122512
RPS12	ENSG00000112306
DIXDC1	ENSG00000262277
NDEL1	ENSG00000166579
RNF126P1	ENSG00000261192
P4HA1	ENSG00000122884
GNA12	ENSG00000146535
MRPS33	ENSG00000090263
SH3BP1	ENSG00000100092
IDH3G	ENSG00000067829
TIMP3	ENSG00000100234
ATP1A2	ENSG00000018625
FAM45B	ENSG00000221930
MAGEB2	ENSG00000099399
PSENEN	ENSG00000205155
KLK3	ENSG00000142515
MRPL33	ENSG00000243147
MRPL4	ENSG00000105364
TAS2R10	ENSG00000271987
TAS2R13	ENSG00000272355
NDRG3	ENSG00000101079
CRIM1	ENSG00000261899
FAM53C	ENSG00000120709
SAP18	ENSG00000150459
TAS2R14	ENSG00000261984
GTF2H4	ENSG00000234370
RAPSN	ENSG00000165917
RPS2	ENSG00000140988
ZNF287	ENSG00000141040
MSH5	ENSG00000233345
CAMK2D	ENSG00000145349
UQCRFS1	ENSG00000169021
MAGEB3	ENSG00000198798
MRPL20	ENSG00000242485
CYP2W1	ENSG00000073067
TTC12	ENSG00000262377
VPS26A	ENSG00000122958
ZNF268	ENSG00000090612
EXOSC4	ENSG00000260189
DLG2	ENSG00000150672
PCBD1	ENSG00000166228
GNA13	ENSG00000120063
RXRB	ENSG00000227322
HOXB1	ENSG00000120094
TAGLN3	ENSG00000144834
REXO2	ENSG00000076043
RAMP3	ENSG00000122679
CDC27	ENSG00000004897
TNNI3	ENSG00000129991
SMAP1	ENSG00000112305
C6orf10	ENSG00000226892
LNPEP	ENSG00000113441
TM9SF4	ENSG00000101337
CKLF	ENSG00000217555
IL17RB	ENSG00000056736
OPCML	ENSG00000183715
SLC4A7	ENSG00000033867
PNLIPRP1	ENSG00000262273
VPS28	ENSG00000260313
DNAJC12	ENSG00000108176
POP4	ENSG00000105171
MAGEB4	ENSG00000120289
ZNF706	ENSG00000120963
BRCA2	ENSG00000139618
FUBP1	ENSG00000162613
MYF6	ENSG00000111046
ATP13A2	ENSG00000159363
DDX47	ENSG00000213782
ABCB1	ENSG00000085563
KIFC1	ENSG00000237649
MYF5	ENSG00000111049
SLC5A7	ENSG00000115665
IPO4	ENSG00000196497
APBA2	ENSG00000034053
UBE2D2	ENSG00000131508
MSH5	ENSG00000230961
TCEB2	ENSG00000103363
RDH16	ENSG00000139547
PMCHL1	ENSG00000168967
KAZALD1	ENSG00000107821
RBKS	ENSG00000171174
TNFAIP3	ENSG00000118503
MAGEB1	ENSG00000214107
LIN7A	ENSG00000111052
DGKE	ENSG00000153933
LMO3	ENSG00000048540
RAB3D	ENSG00000105514
C1QTNF3	ENSG00000082196
FUT4	ENSG00000196371
DDX6	ENSG00000110367
DBP	ENSG00000105516
GMFB	ENSG00000197045
UGT2B4	ENSG00000156096
PRPF4B	ENSG00000112739
PTPRG	ENSG00000144724
ATOH1	ENSG00000172238
VWA1	ENSG00000179403
NPY	ENSG00000122585
RGS9	ENSG00000108370
UCN	ENSG00000163794
UNC5B	ENSG00000107731
KRT17	ENSG00000128422
RGPD1	ENSG00000187627
ADCY1	ENSG00000164742
ARID5B	ENSG00000150347
EPPK1	ENSG00000227184
SACM1L	ENSG00000211456
CHRNE	ENSG00000108556
PITPNC1	ENSG00000154217
SHOX2	ENSG00000168779
KCNJ8	ENSG00000121361
ZNF394	ENSG00000160908
SLC22A1	ENSG00000175003
ELOVL2	ENSG00000197977
APOBEC3C	ENSG00000244509
OR5V1	ENSG00000240130
PANK4	ENSG00000157881
LRRC31	ENSG00000114248
SPRR2C	ENSG00000229035
GPAA1	ENSG00000260226
LGALS1	ENSG00000100097
UGT2A1	ENSG00000173610
PMAIP1	ENSG00000141682
KCNJ12	ENSG00000184185
CNOT1	ENSG00000125107
NCR3	ENSG00000206430
PKMYT1	ENSG00000127564
IK	ENSG00000113141
PXMP2	ENSG00000176894
PREB	ENSG00000138073
CPVL	ENSG00000106066
MPP6	ENSG00000105926
HOXB2	ENSG00000173917
MORC3	ENSG00000159256
PGGT1B	ENSG00000164219
SNX16	ENSG00000104497
APOBEC3F	ENSG00000128394
UPB1	ENSG00000100024
RAD51AP1	ENSG00000111247
ZBTB39	ENSG00000166860
WNT1	ENSG00000125084
GRHL2	ENSG00000083307
ABCC9	ENSG00000069431
ZNF444	ENSG00000167685
LARGE	ENSG00000133424
LPHN3	ENSG00000262515
LTBP4	ENSG00000090006
DDN	ENSG00000181418
CLSTN2	ENSG00000158258
MC4R	ENSG00000166603
APOBEC3G	ENSG00000239713
HOXB3	ENSG00000120093
DHX40	ENSG00000108406
CRIM1	ENSG00000150938
BRE	ENSG00000158019
VARS	ENSG00000231116
IGHV1-69	ENSG00000211973
NEU1	ENSG00000223957
SIRT1	ENSG00000096717
LRRC3	ENSG00000160233
CDH20	ENSG00000101542
TM7SF2	ENSG00000149809
NPR3	ENSG00000113389
DNAJB4	ENSG00000162616
SURF1	ENSG00000260692
ZNF20	ENSG00000132010
CGRRF1	ENSG00000100532
TGFBI	ENSG00000120708
GP1BA	ENSG00000185245
CASQ1	ENSG00000143318
ZNF8	ENSG00000083842
EYA4	ENSG00000112319
MYL2	ENSG00000111245
GLCE	ENSG00000138604
MS4A4A	ENSG00000110079
GBA	ENSG00000262446
RIT2	ENSG00000152214
PRKAG1	ENSG00000181929
NEUROG2	ENSG00000178403
BTNL2	ENSG00000229741
SDHB	ENSG00000117118
RPS13	ENSG00000110700
ITGB8	ENSG00000105855
NOL3	ENSG00000140939
GIPC2	ENSG00000137960
OR7E91P	ENSG00000205847
TRIM10	ENSG00000204613
PGRMC1	ENSG00000101856
FDX1	ENSG00000137714
PEG10	ENSG00000242265
CST8	ENSG00000125815
MOAP1	ENSG00000165943
GCC2	ENSG00000135968
KCNJ13	ENSG00000115474
SFTPC	ENSG00000168484
CD74	ENSG00000019582
MPV17	ENSG00000115204
NR1H4	ENSG00000012504
PPCDC	ENSG00000138621
MYB	ENSG00000118513
NR2E3	ENSG00000031544
PAQR5	ENSG00000137819
MEF2A	ENSG00000068305
APOM	ENSG00000227567
PHF1	ENSG00000112511
PTGFR	ENSG00000122420
TRIOBP	ENSG00000100106
PEA15	ENSG00000162734
CABYR	ENSG00000154040
ADAM5	ENSG00000196115
MCCC1	ENSG00000078070
PRRX2	ENSG00000167157
SOCS6	ENSG00000170677
BMP2K	ENSG00000138756
ARID5A	ENSG00000196843
C3orf18	ENSG00000088543
PADI2	ENSG00000117115
CIRBP	ENSG00000099622
EPHB6	ENSG00000260195
PPP1R3C	ENSG00000119938
PLAGL2	ENSG00000126003
RNF5	ENSG00000227277
IFI44L	ENSG00000137959
CASK	ENSG00000147044
HLA-DRA	ENSG00000228987
NOL11	ENSG00000130935
FAM60A	ENSG00000139146
RUSC2	ENSG00000198853
TNKS2	ENSG00000107854
F13A1	ENSG00000124491
OS9	ENSG00000135506
COL11A2	ENSG00000204248
HTR4	ENSG00000164270
TNFRSF14	ENSG00000157873
ELK3	ENSG00000111145
TLX1	ENSG00000107807
CCNF	ENSG00000162063
GPSM3	ENSG00000233490
FKBP8	ENSG00000105701
HLA-DRB1	ENSG00000236884
PLGLB2	ENSG00000125551
EGF	ENSG00000138798
POFUT1	ENSG00000101346
CSAG2	ENSG00000184324
C6orf47	ENSG00000228435
PTGES	ENSG00000148344
MAPK8IP1	ENSG00000121653
PADI1	ENSG00000142623
CCNA2	ENSG00000145386
LAMB2	ENSG00000172037
MAD2L1BP	ENSG00000124688
OR2F2	ENSG00000221910
POLR3K	ENSG00000161980
LEP	ENSG00000174697
CSH2	ENSG00000213218
