RPS13	ENSG00000110700
SDHC	LRG_317
HNRPC	NA
BTF3	ENSG00000145741
RCP9	NA
COG2	ENSG00000135775
C14orf2	ENSG00000156411
RPL27A	ENSG00000166441
EIF5	ENSG00000100664
NAP1L1	ENSG00000187109
PABPC1	ENSG00000070756
SEC31L1	NA
PPIA	ENSG00000196262
NCOA4	ENSG00000266412
PFDN5	ENSG00000123349
FBXL12	ENSG00000127452
EDF1	ENSG00000107223
DDX24	ENSG00000089737
TRMT5	ENSG00000126814
CCT4	ENSG00000115484
PSMB2	ENSG00000126067
ASXL1	ENSG00000171456
AG1	NA
SFRS8	NA
TXNDC14	NA
RPL26	ENSG00000161970
FLJ14154	NA
GTF3A	ENSG00000122034
ZA20D2	NA
USP9X	ENSG00000124486
ERBP	NA
RNASEH1	ENSG00000171865
HDAC3	ENSG00000171720
NDUFB2	ENSG00000090266
USP7	ENSG00000187555
TDE1	NA
UBE4A	ENSG00000268110
MRP63	ENSG00000173141
MLX	ENSG00000108788
NDUFB8	ENSG00000166136
TRAPPC4	ENSG00000267619
FLJ20719	NA
WDR73	ENSG00000177082
C20orf116	NA
RNF34	ENSG00000271829
CDC16	ENSG00000130177
ACTR3	ENSG00000115091
NCBP2	ENSG00000114503
KIAA0157	NA
SFRS3	NA
FAM96B	ENSG00000166595
CUEDC2	ENSG00000107874
AQR	ENSG00000021776
ANP32B	ENSG00000136938
MAT2B	ENSG00000038274
ARL10C	NA
DNAJB12	ENSG00000148719
TMED10	ENSG00000170348
TGOLN2	ENSG00000152291
GCN1L1	ENSG00000089154
PWP1	ENSG00000136045
RTN4	ENSG00000115310
PEX10	ENSG00000157911
ZNF262	NA
SRP19	ENSG00000153037
TLK2	ENSG00000146872
RBMX	ENSG00000147274
UQCRC2	ENSG00000140740
PEX16	ENSG00000121680
TRIM44	ENSG00000166326
GAPVD1	ENSG00000165219
CASP9	ENSG00000132906
PTD004	NA
TCEA1	ENSG00000187735
ABCF1	ENSG00000236149
THAP4	ENSG00000176946
TCF20	ENSG00000262024
GLTSCR2	ENSG00000105373
POLR2G	ENSG00000168002
PSMC5	ENSG00000087191
CTDSP2	ENSG00000175215
SIAHBP1	NA
DAD1	ENSG00000129562
YT521	NA
SEC24C	ENSG00000176986
LRRC47	ENSG00000130764
PRKAR2A	ENSG00000114302
RAF1	LRG_413
PGAM1	ENSG00000171314
HADHA	ENSG00000084754
AMZ2	ENSG00000196704
TJAP1	ENSG00000137221
IDH3B	ENSG00000101365
TMEM9B	ENSG00000175348
NIPA2	ENSG00000140157
FLJ12529	NA
RNF4	ENSG00000063978
ARL6IP4	ENSG00000182196
ARIH1	ENSG00000166233
GCC1	ENSG00000179562
SPCS2	ENSG00000118363
TI-227H	NA
ATP5J2	ENSG00000241468
FAM61A	NA
COX8A	ENSG00000176340
RBMX2	ENSG00000134597
NDUFV1	ENSG00000167792
ZNF403	NA
RPL11	ENSG00000142676
ADAR	ENSG00000160710
ATP5G3	ENSG00000154518
LAPTM4A	ENSG00000068697
NCOA6	ENSG00000198646
TOR1A	ENSG00000136827
ACTR1B	ENSG00000115073
ATP6V1G1	ENSG00000136888
ZNF410	ENSG00000119725
UBE2E1	ENSG00000170142
VTI1B	ENSG00000100568
FARS2	ENSG00000145982
CPSF3L	ENSG00000127054
MAP3K7	ENSG00000135341
C6orf82	NA
ZDHHC6	ENSG00000023041
NDUFB4	ENSG00000065518
PMPCB	ENSG00000105819
FTL	ENSG00000087086
ANKRD17	ENSG00000132466
GPR107	ENSG00000269797
OSBPL9	ENSG00000117859
FBXO34	ENSG00000178974
EXOC7	ENSG00000182473
WDR48	ENSG00000114742
MYL6	ENSG00000092841
FLJ20643	NA
EIF2S1	ENSG00000134001
C15orf24	NA
IK	ENSG00000113141
AURKAIP1	ENSG00000175756
SDHA	ENSG00000073578
C14orf120	NA
OS9	ENSG00000135506
PIK3C3	ENSG00000078142
SUPT5H	ENSG00000196235
STX8	ENSG00000170310
NOL7	ENSG00000225921
N-PAC	NA
SRP9	ENSG00000143742
C10orf7	NA
RING1	ENSG00000235107
SERBP1	ENSG00000142864
PNRC2	ENSG00000189266
BSDC1	ENSG00000160058
KIAA0652	NA
MAPRE1	ENSG00000101367
HNRPA0	NA
UBAP2L	ENSG00000143569
WAC	ENSG00000095787
OSBP	ENSG00000110048
CIAPIN1	ENSG00000005194
COPS4	ENSG00000138663
ESD	ENSG00000139684
HSPC152	NA
GOSR1	ENSG00000108587
SNRPB2	ENSG00000125870
EIF2B4	ENSG00000115211
MUS81	ENSG00000172732
RPP30	ENSG00000148688
PABPN1	ENSG00000100836
GABARAPL2	ENSG00000034713
NDUFA9	ENSG00000139180
DDX46	ENSG00000145833
JMJD1B	NA
CXorf40A	ENSG00000268314
SF3B5	ENSG00000169976
RPL36	ENSG00000130255
XPNPEP1	ENSG00000108039
RFP	NA
ARL5	NA
TTC19	ENSG00000011295
RBPSUH	NA
MRPL18	ENSG00000112110
GPX4	ENSG00000167468
AP3S2	ENSG00000157823
SDF2	ENSG00000132581
ZNF706	ENSG00000120963
C7orf28A	NA
FAM21C	ENSG00000265551
DNAJC8	ENSG00000126698
EIF2C1	NA
NDUFB1	ENSG00000183648
RAB2	NA
RSAFD1	NA
SFRS9	NA
FAM21B	ENSG00000152726
POM121	ENSG00000262122
NIT1	ENSG00000158793
C14orf133	NA
UBAP2	ENSG00000137073
FIBP	ENSG00000172500
RPP38	ENSG00000152464
EIF3S10	NA
PSMD7	ENSG00000103035
AKAP8	ENSG00000105127
WDR26	ENSG00000162923
RAB1A	ENSG00000138069
APEX1	ENSG00000100823
PTD008	NA
ZNF263	ENSG00000006194
UBE2V1	ENSG00000244687
RPS19	ENSG00000105372
ZNF434	NA
HT007	NA
YBX1	ENSG00000065978
TEX261	ENSG00000272125
NPM1	LRG_458
GTF2A2	ENSG00000140307
KPNB1	ENSG00000108424
POP4	ENSG00000105171
PCBP1	ENSG00000169564
CRKL	ENSG00000099942
GPKOW	ENSG00000268675
CDC5L	ENSG00000096401
HSBP1	ENSG00000230989
LOC440434	NA
PTMA	ENSG00000187514
CSNK1D	ENSG00000141551
ATP6V1F	ENSG00000128524
SLC25A6	ENSG00000169100
ATG4B	ENSG00000168397
SMAD2	ENSG00000175387
C10orf61	NA
CHERP	ENSG00000085872
ASCIZ	NA
TMEM59	ENSG00000116209
SNF8	ENSG00000159210
UQCRH	ENSG00000173660
ARF4	ENSG00000168374
SH3GLB1	ENSG00000097033
MLH1	LRG_216
CDIPT	ENSG00000103502
CLTA	ENSG00000122705
RER1	ENSG00000157916
C2orf28	NA
PCNP	ENSG00000081154
CHD4	ENSG00000111642
WIRE	NA
MDH2	ENSG00000262847
HNRPA3	NA
HMGN4	ENSG00000182952
EIF2B2	ENSG00000119718
SEC3L1	NA
ZDHHC3	ENSG00000163812
EIF2B5	ENSG00000145191
RUFY1	ENSG00000176783
PTDSS1	ENSG00000156471
TAF10	ENSG00000166337
SPAG7	ENSG00000091640
SSR2	ENSG00000163479
TIMM9	ENSG00000100575
STAMBP	ENSG00000124356
TAF7	ENSG00000178913
DNPEP	ENSG00000123992
NDUFAB1	ENSG00000004779
C14orf154	NA
UQCR	NA
ERAL1	ENSG00000132591
ALKBH	NA
PITPNA	ENSG00000174238
MGC2749	NA
RIC8A	ENSG00000177963
ACP1	ENSG00000143727
FNTA	ENSG00000168522
TOMM20	ENSG00000173726
KPNA1	ENSG00000114030
SLC25A5	ENSG00000005022
JMJD2A	NA
NDP52	NA
PCBP2	ENSG00000197111
LEREPO4	NA
ASH2L	ENSG00000129691
RPS14	ENSG00000164587
FAM82C	NA
SUB1	ENSG00000113387
PRPF8	ENSG00000174231
FLJ13448	NA
DDX48	NA
GRINL1A	NA
RP1-112K5.2	NA
COX6A1	ENSG00000111775
EXOSC7	ENSG00000075914
SLC25A36	ENSG00000114120
DCUN1D1	ENSG00000043093
CYCS	ENSG00000172115
ZNF638	ENSG00000075292
KIAA0586	ENSG00000100578
FLJ20758	NA
C1orf149	NA
PPP1R7	ENSG00000115685
ZNF212	ENSG00000170260
FLJ20232	NA
HDGF	ENSG00000143321
MRPS18A	ENSG00000096080
NDUFS2	ENSG00000158864
AP2A2	ENSG00000183020
ACAA1	ENSG00000060971
STX18	ENSG00000168818
RPS21	ENSG00000171858
TM2D3	ENSG00000184277
DNAJA3	ENSG00000103423
BRE	ENSG00000158019
ATP5I	ENSG00000169020
TRFP	NA
CSNK2A1	ENSG00000101266
P53CSV	NA
AFTIPHILIN	NA
RBM13	NA
KIAA0391	ENSG00000100890
FN3KRP	ENSG00000141560
UBAP1	ENSG00000165006
HEAB	NA
LYK5	NA
NDUFB5	ENSG00000136521
GOLPH3	ENSG00000113384
BXDC5	NA
NKIRAS2	ENSG00000168256
PSMB3	ENSG00000108294
ADIPOR2	ENSG00000006831
RAP1B	ENSG00000127314
KIAA0100	ENSG00000007202
ARF3	ENSG00000134287
SLC4A1AP	ENSG00000163798
GNAS	ENSG00000087460
GRHPR	ENSG00000137106
DHX30	ENSG00000132153
TBC1D5	ENSG00000131374
LOC552889	NA
ZNF672	ENSG00000171161
ZDHHC7	ENSG00000153786
ACTR1A	ENSG00000138107
CYB5R3	ENSG00000100243
FLJ20397	NA
GLO1	ENSG00000124767
NIFUN	NA
HAX1	LRG_64
COBRA1	NA
NOLA3	NA
BCS1L	ENSG00000074582
MMS19L	NA
EIF3S9	NA
GARS	LRG_243
COX5B	ENSG00000135940
PSMA2	ENSG00000106588
MRPS35	ENSG00000061794
DCTN6	ENSG00000104671
FBXO9	ENSG00000112146
TMEM41B	ENSG00000166471
PMF1	ENSG00000160783
HMOX2	ENSG00000103415
GNPAT	ENSG00000116906
PSCD2	NA
PAFAH1B1	ENSG00000007168
RPL28	ENSG00000108107
PSMD13	ENSG00000185627
NDUFA10	ENSG00000130414
BRD3	ENSG00000169925
MGEA5	ENSG00000198408
NDUFS3	ENSG00000213619
C20orf111	NA
LOC130074	NA
UBXD2	NA
MYST1	NA
TSN	ENSG00000211460
LRPPRC	ENSG00000138095
STUB1	ENSG00000103266
VBP1	ENSG00000268440
TBK1	ENSG00000183735
XAB1	NA
PPP2R5D	ENSG00000112640
YWHAZ	ENSG00000164924
FTH1	ENSG00000167996
PABPC3	ENSG00000151846
FBXW2	ENSG00000119402
OXSR1	ENSG00000172939
LCMT1	ENSG00000205629
BLOC1S1	ENSG00000135441
RAB22A	ENSG00000124209
FBXO7	ENSG00000100225
NDUFA6	ENSG00000272052
ATP6V0B	ENSG00000117410
POLDIP2	ENSG00000262464
KBTBD2	ENSG00000170852
DDOST	ENSG00000244038
MGC23401	NA
ABCC10	ENSG00000124574
COASY	ENSG00000068120
PARP6	ENSG00000137817
SART3	ENSG00000075856
SUCLG1	ENSG00000163541
R3HCC1	ENSG00000104679
SAP18	ENSG00000150459
SUPT7L	ENSG00000119760
VPS35	ENSG00000069329
RPL36A	ENSG00000269315
TBC1D15	ENSG00000121749
EIF2AK1	ENSG00000086232
C14orf124	NA
DUS1L	ENSG00000169718
RAD17	ENSG00000152942
PDCD10	ENSG00000114209
N4BP1	ENSG00000102921
FBXL11	NA
RRAGC	ENSG00000116954
PMS2L1	NA
XPO6	ENSG00000169180
HNRPH3	NA
EIF4A1	ENSG00000161960
USP16	ENSG00000156256
SUPT4H1	ENSG00000213246
RRAGA	ENSG00000155876
PARP2	ENSG00000129484
AAMP	ENSG00000127837
TM9SF2	ENSG00000125304
MRPL16	ENSG00000166902
RPN2	ENSG00000118705
TRIM26	ENSG00000226060
RUTBC3	NA
EIF3S4	NA
WDR39	NA
TCP1	ENSG00000120438
OSBPL2	ENSG00000130703
VPS11	ENSG00000262342
PSMD9	ENSG00000110801
FLJ14346	NA
ALS4	NA
ANGEL1	ENSG00000013523
COPS8	ENSG00000198612
ABHD10	ENSG00000144827
GSTO1	ENSG00000148834
SMARCC2	ENSG00000139613
C20orf9	NA
KIAA0553	NA
ALDOA	ENSG00000149925
SCAP	ENSG00000114650
76P	NA
CAP1	ENSG00000131236
NDUFB6	ENSG00000165264
CNIH	ENSG00000100528
SCYE1	NA
LOC400843	NA
LUC7L2	ENSG00000269955
MAP3K7IP2	NA
NFS1	ENSG00000244005
CCNH	ENSG00000134480
AZIN1	ENSG00000155096
FAM48A	NA
PSMA4	ENSG00000041357
TIMM8B	ENSG00000150779
SART1	ENSG00000175467
ADCK2	ENSG00000133597
BFAR	ENSG00000103429
KIAA1698	NA
PSMD6	ENSG00000163636
RAB3GAP1	ENSG00000115839
YY1	ENSG00000100811
DCTN2	ENSG00000175203
NDUFS6	ENSG00000145494
BRP44	NA
PSMD4	ENSG00000159352
CD63	ENSG00000135404
KIAA0251	NA
TRIP4	ENSG00000103671
THRAP1	NA
TFG	ENSG00000114354
COX6C	ENSG00000164919
SYNCRIP	ENSG00000135316
RPL18	ENSG00000063177
SUMO4	ENSG00000177688
PRKRIR	ENSG00000137492
CARS	ENSG00000110619
UGP2	ENSG00000169764
ADH5	ENSG00000197894
TSC1	ENSG00000165699
PDCD11	ENSG00000148843
H2AFY	ENSG00000113648
DNAJC16	ENSG00000116138
POLS	NA
ATP5J	ENSG00000154723
ZNF384	ENSG00000126746
PIN4	ENSG00000102309
NSUN3	ENSG00000178694
DGCR8	ENSG00000128191
UBP1	ENSG00000153560
MKRN1	ENSG00000133606
TMEM50A	ENSG00000183726
FZR1	ENSG00000105325
PSME1	ENSG00000092010
ZBTB5	ENSG00000168795
ILF3	ENSG00000129351
SDAD1	ENSG00000198301
C10orf22	NA
LARS	ENSG00000133706
TMEM43	ENSG00000170876
HMGN3	ENSG00000118418
IDE	ENSG00000119912
KLHDC2	ENSG00000165516
SFRS2	NA
TRAP1	ENSG00000126602
YTHDF2	ENSG00000198492
FOXJ2	ENSG00000065970
DHDDS	ENSG00000117682
TNPO1	ENSG00000083312
RENT1	NA
MTF1	ENSG00000188786
POLR3C	ENSG00000264806
STK19	ENSG00000204344
ARFGEF1	ENSG00000066777
AIP	LRG_460
PMS2L3	NA
EI24	ENSG00000149547
DGUOK	ENSG00000114956
ARPP-19	NA
LOC55831	NA
PFDN1	ENSG00000113068
DBI	ENSG00000155368
ZNF419	ENSG00000105136
MULK	NA
HSPA9B	NA
AP3B1	ENSG00000132842
WDR45	ENSG00000196998
CBARA1	NA
GTF2I	ENSG00000077809
RAP80	NA
SPOP	ENSG00000121067
SNX27	ENSG00000143376
ZMPSTE24	LRG_212
PPIE	ENSG00000084072
DDX1	ENSG00000079785
API5	ENSG00000166181
ZNF289	NA
HNRPUL1	NA
FNBP3	NA
KIAA0853	NA
TMED9	ENSG00000184840
CXorf40B	ENSG00000268871
AARS	LRG_359
VPS52	ENSG00000223618
LSM1	ENSG00000175324
RAD1	ENSG00000113456
FTSJ3	ENSG00000108592
KIAA0674	NA
C9orf97	NA
PTTG1IP	ENSG00000183255
SKIV2L2	ENSG00000039123
USP47	ENSG00000170242
PMS2L5	NA
PEX26	ENSG00000215193
WDR70	ENSG00000082068
TUBGCP2	ENSG00000130640
HADH2	NA
SAR1A	ENSG00000079332
MRFAP1L1	ENSG00000178988
C1orf37	NA
GLG1	ENSG00000090863
CSTF3	ENSG00000176102
SNRPD2	ENSG00000125743
FLJ20859	NA
SRP54	ENSG00000100883
TUFM	ENSG00000178952
ETEA	NA
HADHB	ENSG00000138029
NMT1	ENSG00000136448
SEC61B	ENSG00000106803
KIAA0947	ENSG00000164151
UCRC	NA
ZNF337	ENSG00000130684
HFE	ENSG00000010704
POLR1C	ENSG00000171453
PEX11B	ENSG00000265832
NDUFA4	ENSG00000189043
DDX27	ENSG00000124228
GPBP1L1	ENSG00000159592
RELA	ENSG00000173039
FLJ22405	NA
HSPD1	ENSG00000144381
MRPL33	ENSG00000243147
MTMR4	ENSG00000108389
SCAMP3	ENSG00000116521
NUDCD3	ENSG00000015676
PFDN2	ENSG00000143256
HMG2L1	NA
KIAA0323	NA
ENTH	NA
C20orf29	NA
FDFT1	ENSG00000079459
UXT	ENSG00000126756
ARPC5L	ENSG00000136950
HTATIP	NA
SETDB1	ENSG00000143379
DNCL1	NA
C9orf74	NA
ATP1B3	ENSG00000069849
SUPT16H	ENSG00000092201
MGC10433	NA
MKNK1	ENSG00000079277
DDX10	ENSG00000178105
SFRS7	NA
AUP1	ENSG00000115307
FAM35A	ENSG00000122376
MTHFS	ENSG00000136371
FLJ11806	NA
DDX18	ENSG00000088205
FTSJ1	ENSG00000269875
C11orf2	NA
KIAA1012	NA
FLJ10241	NA
HSPC142	NA
NPL4	NA
KIAA0859	NA
PSMD14	ENSG00000115233
ARHGAP1	ENSG00000175220
IPO7	ENSG00000205339
SFPQ	ENSG00000116560
RNF10	ENSG00000022840
IARS	ENSG00000196305
C1orf16	NA
INPP5E	ENSG00000148384
PSMB6	ENSG00000142507
HSPC009	NA
MEN1	ENSG00000133895
CDC27	ENSG00000004897
MRCL3	NA
ARL6IP5	ENSG00000144746
OTUB1	ENSG00000167770
KIAA1055	NA
BCDIN3	NA
CCT3	ENSG00000163468
GAK	ENSG00000178950
ZW10	ENSG00000086827
DDX47	ENSG00000213782
HCCS	ENSG00000004961
AP3D1	ENSG00000065000
C21orf33	ENSG00000160221
LARP5	NA
ZNHIT3	ENSG00000108278
PANK4	ENSG00000157881
DATF1	NA
G3BP	NA
DPH1	ENSG00000108963
BTN2A1	ENSG00000112763
JAK1	ENSG00000162434
C19orf29	NA
GTDC1	ENSG00000121964
FLJ11301	NA
PUM2	ENSG00000055917
FLJ22318	NA
HSGT1	NA
KHSRP	ENSG00000088247
NOLA2	NA
NOLC1	ENSG00000166197
TAF9	ENSG00000085231
POLR3B	ENSG00000013503
BIRC2	ENSG00000110330
TPI1	ENSG00000268548
SEC13L1	NA
MGC5242	NA
RWDD1	ENSG00000111832
TOR1B	ENSG00000136816
Mar-05	NA
ATP6V1E1	ENSG00000131100
SCFD1	ENSG00000092108
PGK1	ENSG00000269666
TTF1	ENSG00000125482
KS	NA
GOLGA1	ENSG00000136935
XPC	LRG_472
RABIF	ENSG00000183155
FLJ10587	NA
VAMP3	ENSG00000049245
C17orf25	NA
SS18L2	ENSG00000008324
VPS72	ENSG00000163159
BMS1L	NA
POLDIP3	ENSG00000100227
AKR1A1	ENSG00000117448
NFATC2IP	ENSG00000176953
DDX19A	ENSG00000168872
ARIH2	ENSG00000177479
YWHAE	ENSG00000108953
SAPS2	NA
SAPS3	NA
RBM25	ENSG00000119707
NUDT9	ENSG00000170502
TCEB2	ENSG00000103363
GTF2F1	ENSG00000125651
SNX13	ENSG00000071189
SHOC2	ENSG00000108061
CYFIP1	ENSG00000068793
IMP4	ENSG00000136718
TXNL4A	ENSG00000141759
CGGBP1	ENSG00000163320
SFRS14	NA
RNF187	ENSG00000168159
ADNP	ENSG00000101126
HSPA5	ENSG00000044574
GPAA1	ENSG00000197858
FBXO42	ENSG00000037637
MUTYH	LRG_220
PRDX1	ENSG00000117450
PSAP	ENSG00000197746
UBE4B	ENSG00000130939
EDD1	NA
