; sequence-lengths  -v 1 -i $RSAT/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1_template.fa -in_format fasta -o $RSAT/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1.lengths
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1_template.fa
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2015/11/03/random-genome-fragments_2015-11-03.082657_h4hfm1.lengths
; seq format	fasta
mm9_chr16_91678777_91679098_+	322
mm9_chr16_91727678_91727978_+	301
mm9_chr16_92609843_92610100_+	258
mm9_chr17_5206803_5207064_+	262
mm9_chr17_13117979_13118268_+	290
mm9_chr17_24349292_24349560_+	269
mm9_chr17_24358072_24358473_+	402
mm9_chr17_24984377_24984679_+	303
mm9_chr17_26649413_26649696_+	284
mm9_chr17_26708398_26708644_+	247
mm9_chr17_28168284_28168525_+	242
mm9_chr17_28575709_28575979_+	271
mm9_chr17_33886436_33886698_+	263
mm9_chr17_34864880_34865162_+	283
mm9_chr17_34945603_34945890_+	288
mm9_chr17_39984598_39984952_+	355
mm9_chr17_40943405_40943677_+	273
mm9_chr17_45271005_45271252_+	248
mm9_chr17_45745381_45745710_+	330
mm9_chr17_49508191_49508470_+	280
mm9_chr17_56359295_56359558_+	264
mm9_chr17_71649752_71650024_+	273
mm9_chr17_74299496_74299779_+	284
mm9_chr17_79469487_79469725_+	239
mm9_chr17_80394627_80394943_+	317
mm9_chr17_80960137_80960434_+	298
mm9_chr17_84235473_84235735_+	263
mm9_chr17_84667975_84668252_+	278
mm9_chr17_85131937_85132198_+	262
mm9_chr17_87175952_87176254_+	303
mm9_chr18_4644475_4644721_+	247
mm9_chr18_4969682_4969991_+	310
mm9_chr18_12961165_12961435_+	271
mm9_chr18_21089958_21090223_+	266
mm9_chr18_21304168_21304419_+	252
mm9_chr18_32717195_32717501_+	307
mm9_chr18_38871455_38871708_+	254
mm9_chr18_39601996_39602268_+	273
mm9_chr18_43246242_43246522_+	281
mm9_chr18_44715526_44715862_+	337
mm9_chr18_46763963_46764309_+	347
mm9_chr18_51324879_51325153_+	275
mm9_chr18_55006123_55006398_+	276
mm9_chr18_55569055_55569363_+	309
mm9_chr18_56552368_56552633_+	266
mm9_chr18_56767524_56767779_+	256
mm9_chr18_66164844_66165117_+	274
mm9_chr18_68458809_68459049_+	241
mm9_chr18_84769991_84770314_+	324
mm9_chr18_85079356_85079652_+	297
mm9_chr19_3333292_3333595_+	304
mm9_chr19_3562725_3562958_+	234
mm9_chr19_11130297_11130550_+	254
mm9_chr19_12070643_12070899_+	257
mm9_chr19_12519530_12519867_+	338
mm9_chr19_14694181_14694427_+	247
mm9_chr19_15979194_15979522_+	329
mm9_chr19_20626877_20627186_+	310
mm9_chr19_23102767_23103039_+	273
mm9_chr19_25020109_25020370_+	262
mm9_chr19_30181903_30182233_+	331
mm9_chr19_31945879_31946146_+	268
mm9_chr19_34516662_34516944_+	283
mm9_chr19_37517285_37517653_+	369
mm9_chr19_37777082_37777418_+	337
mm9_chr19_38316847_38317124_+	278
mm9_chr19_41492600_41492885_+	286
mm9_chr19_44096069_44096402_+	334
mm9_chr19_46975885_46976201_+	317
mm9_chr19_47294779_47295031_+	253
mm9_chr19_55206264_55206509_+	246
mm9_chr19_55213798_55214085_+	288
mm9_chr19_55332141_55332510_+	370
mm9_chr19_56352503_56352786_+	284
mm9_chr19_57441691_57441962_+	272
mm9_chr19_58091598_58091833_+	236
mm9_chr19_59146017_59146278_+	262
mm9_chr19_60657486_60657720_+	235
mm9_chr19_60871213_60871545_+	333
mm9_chr2_3590014_3590243_+	230
mm9_chr2_5977597_5977856_+	260
mm9_chr2_7188872_7189138_+	267
mm9_chr2_10047883_10048135_+	253
mm9_chr2_10058974_10059242_+	269
mm9_chr2_15068605_15068893_+	289
mm9_chr2_30055627_30055870_+	244
mm9_chr2_32274047_32274308_+	262
mm9_chr2_32556921_32557190_+	270
mm9_chr2_34683592_34683884_+	293
mm9_chr2_44776110_44776414_+	305
mm9_chr2_52360330_52360643_+	314
mm9_chr2_52457753_52458129_+	377
mm9_chr2_54410739_54411018_+	280
mm9_chr2_60635473_60635757_+	285
mm9_chr2_63908132_63908673_+	542
mm9_chr2_68634114_68634439_+	326
mm9_chr2_72885113_72885360_+	248
mm9_chr2_75481232_75481524_+	293
mm9_chr2_79878186_79878440_+	255
mm9_chr2_103334004_103334284_+	281
mm9_chr2_104374878_104375162_+	285
mm9_chr2_105268314_105268632_+	319
mm9_chr2_106493457_106493770_+	314
mm9_chr2_109302518_109302707_+	190
mm9_chr2_113915769_113916017_+	249
mm9_chr2_114600097_114600351_+	255
mm9_chr2_126426303_126426569_+	267
mm9_chr2_126521068_126521331_+	264
mm9_chr2_130758631_130758941_+	311
mm9_chr2_132421513_132421818_+	306
mm9_chr2_133587285_133587579_+	295
mm9_chr2_143835262_143835518_+	257
mm9_chr2_151765849_151766102_+	254
mm9_chr2_169222565_169222833_+	269
mm9_chr2_172949699_172950150_+	452
mm9_chr2_178397101_178397388_+	288
mm9_chr2_180435885_180436157_+	273
mm9_chr3_10247195_10247487_+	293
mm9_chr3_14699635_14699894_+	260
mm9_chr3_14755693_14756092_+	400
mm9_chr3_14783229_14783513_+	285
mm9_chr3_19347797_19348117_+	321
mm9_chr3_19853891_19854230_+	340
mm9_chr3_25046209_25046508_+	300
mm9_chr3_27169087_27169339_+	253
mm9_chr3_27589081_27589354_+	274
mm9_chr3_38027370_38027746_+	377
mm9_chr3_40799143_40799420_+	278
mm9_chr3_54042884_54043130_+	247
mm9_chr3_58038783_58039029_+	247
mm9_chr3_58312223_58312521_+	299
mm9_chr3_59971597_59971856_+	260
mm9_chr3_60311955_60312258_+	304
mm9_chr3_65385429_65385673_+	245
mm9_chr3_65761051_65761322_+	272
mm9_chr3_80088627_80088900_+	274
mm9_chr3_82842856_82843184_+	329
mm9_chr3_83663605_83663907_+	303
mm9_chr3_85375289_85375538_+	250
mm9_chr3_85623369_85623621_+	253
mm9_chr3_93273603_93273934_+	332
mm9_chr3_94142490_94142777_+	288
mm9_chr3_95086251_95086509_+	259
mm9_chr3_97419948_97420183_+	236
mm9_chr3_97802322_97802595_+	274
mm9_chr3_100005626_100005882_+	257
mm9_chr3_101323548_101323806_+	259
mm9_chr3_107916866_107917127_+	262
mm9_chr3_114273979_114274239_+	261
mm9_chr3_115344416_115344662_+	247
mm9_chr3_116440372_116440654_+	283
mm9_chr3_116502256_116502507_+	252
mm9_chr3_116653584_116653988_+	405
mm9_chr3_121383203_121383449_+	247
mm9_chr3_137890085_137890374_+	290
mm9_chr3_142283157_142283475_+	319
mm9_chr3_142374413_142374692_+	280
mm9_chr3_145627066_145627371_+	306
mm9_chr3_149597882_149598154_+	273
mm9_chr3_157640101_157640360_+	260
mm9_chr3_157725091_157725461_+	371
mm9_chr4_8236375_8236703_+	329
mm9_chr4_9037543_9037819_+	277
mm9_chr4_11029896_11030180_+	285
mm9_chr4_15066295_15066564_+	270
mm9_chr4_25381934_25382210_+	277
mm9_chr4_32656993_32657281_+	289
mm9_chr4_35036629_35036897_+	269
mm9_chr4_35044187_35044446_+	260
mm9_chr4_35252516_35252759_+	244
mm9_chr4_40103169_40103469_+	301
mm9_chr4_40152618_40152881_+	264
mm9_chr4_40672660_40672937_+	278
mm9_chr4_41315317_41315584_+	268
mm9_chr4_44992758_44992992_+	235
mm9_chr4_45426531_45426843_+	313
mm9_chr4_48327807_48328054_+	248
mm9_chr4_48345394_48345648_+	255
mm9_chr4_49498348_49498639_+	292
mm9_chr4_53843546_53843817_+	272
mm9_chr4_55972963_55973256_+	294
mm9_chr4_58947967_58948213_+	247
mm9_chr4_59452897_59453194_+	298
mm9_chr4_61749072_61749348_+	277
mm9_chr4_61819509_61819763_+	255
mm9_chr4_62178009_62178286_+	278
mm9_chr4_63005346_63005657_+	312
mm9_chr4_65592031_65592295_+	265
mm9_chr4_71859866_71860095_+	230
mm9_chr4_84077615_84077838_+	224
mm9_chr4_86336181_86336447_+	267
mm9_chr4_87313427_87313710_+	284
mm9_chr4_88183359_88183616_+	258
mm9_chr4_88555845_88556122_+	278
mm9_chr4_88658667_88658952_+	286
mm9_chr4_96668099_96668325_+	227
mm9_chr4_97481240_97481541_+	302
mm9_chr4_97770921_97771186_+	266
mm9_chr4_103058902_103059242_+	341
mm9_chr4_105132669_105132928_+	260
mm9_chr4_105868218_105868711_+	494
mm9_chr4_114643363_114643662_+	300
mm9_chr4_116793004_116793280_+	277
mm9_chr4_135673042_135673304_+	263
mm9_chr4_144809220_144809509_+	290
mm9_chr4_147994888_147995122_+	235
mm9_chr4_150059097_150059546_+	450
mm9_chr5_3691340_3691649_+	310
mm9_chr5_9034512_9034798_+	287
mm9_chr5_17505908_17506153_+	246
mm9_chr5_20562570_20562880_+	311
mm9_chr5_32440915_32441177_+	263
mm9_chr5_36910827_36911072_+	246
mm9_chr5_38351522_38351764_+	243
mm9_chr5_52538465_52538721_+	257
mm9_chr5_54328457_54328796_+	340
mm9_chr5_65748222_65748537_+	316
mm9_chr5_66497216_66497489_+	274
mm9_chr5_66505498_66505760_+	263
mm9_chr5_73224186_73224495_+	310
mm9_chr5_87456387_87456742_+	356
mm9_chr5_87804933_87805204_+	272
mm9_chr5_89888642_89888921_+	280
mm9_chr5_90706524_90706783_+	260
mm9_chr5_90989903_90990159_+	257
mm9_chr5_91118806_91119115_+	310
mm9_chr5_91465656_91465990_+	335
mm9_chr5_92915824_92916082_+	259
mm9_chr5_92953833_92954091_+	259
mm9_chr5_96432387_96432674_+	288
mm9_chr5_96735356_96735632_+	277
mm9_chr5_99712715_99712994_+	280
mm9_chr5_100423286_100423533_+	248
mm9_chr5_101289689_101289971_+	283
mm9_chr5_103000536_103000759_+	224
mm9_chr5_104267701_104267943_+	243
mm9_chr5_111032062_111032350_+	289
mm9_chr5_122997468_122997725_+	258
mm9_chr5_123112572_123112872_+	301
mm9_chr5_123450982_123451231_+	250
mm9_chr5_123673189_123673454_+	266
mm9_chr5_125933034_125933290_+	257
mm9_chr5_125955895_125956113_+	219
mm9_chr5_127011663_127011925_+	263
mm9_chr5_130209267_130209513_+	247
mm9_chr5_135484712_135485002_+	291
mm9_chr5_135576939_135577157_+	219
mm9_chr5_136689690_136689916_+	227
mm9_chr5_138517547_138517823_+	277
mm9_chr5_140681975_140682277_+	303
mm9_chr5_144995661_144995890_+	230
mm9_chr5_146716188_146716447_+	260
mm9_chr5_147060356_147060633_+	278
mm9_chr5_148723395_148723653_+	259
mm9_chr5_151386302_151386594_+	293
mm9_chr5_152208937_152209173_+	237
mm9_chr6_17435837_17436106_+	270
mm9_chr6_17518697_17518963_+	267
mm9_chr6_27982053_27982319_+	267
mm9_chr6_28078895_28079183_+	289
mm9_chr6_32117761_32118010_+	250
mm9_chr6_35450062_35450362_+	301
mm9_chr6_36125123_36125428_+	306
mm9_chr6_48775083_48775336_+	254
mm9_chr6_49299932_49300248_+	317
mm9_chr6_49992152_49992382_+	231
mm9_chr6_50142216_50142497_+	282
mm9_chr6_53473919_53474162_+	244
mm9_chr6_53945632_53945916_+	285
mm9_chr6_53946656_53946903_+	248
mm9_chr6_59401325_59401645_+	321
mm9_chr6_59663050_59663324_+	275
mm9_chr6_63038288_63038539_+	252
mm9_chr6_72759813_72760105_+	293
mm9_chr6_82598010_82598294_+	285
mm9_chr6_87139859_87140102_+	244
mm9_chr6_87942884_87943120_+	237
mm9_chr6_90416103_90416353_+	251
mm9_chr6_95461753_95462046_+	294
mm9_chr6_99202854_99203086_+	233
mm9_chr6_108786233_108786531_+	299
mm9_chr6_113844029_113844300_+	272
mm9_chr6_115616674_115616998_+	325
mm9_chr6_116215624_116215955_+	332
mm9_chr6_120307435_120307690_+	256
mm9_chr6_121220252_121220536_+	285
mm9_chr6_125361112_125361355_+	244
mm9_chr6_134650894_134651167_+	274
mm9_chr6_138024283_138024561_+	279
mm9_chr6_138088463_138088804_+	342
mm9_chr6_138404322_138404576_+	255
mm9_chr6_140609751_140609996_+	246
mm9_chr6_141562649_141562911_+	263
mm9_chr6_141814519_141814778_+	260
mm9_chr7_14574982_14575231_+	250
mm9_chr7_17090301_17090552_+	252
mm9_chr7_25337421_25337669_+	249
mm9_chr7_26804911_26805212_+	302
mm9_chr7_26840228_26840553_+	326
mm9_chr7_26924611_26924922_+	312
mm9_chr7_26954120_26954442_+	323
mm9_chr7_30386456_30386730_+	275
mm9_chr7_47233581_47233848_+	268
mm9_chr7_53974987_53975375_+	389
mm9_chr7_54001178_54001527_+	350
mm9_chr7_86903120_86903424_+	305
mm9_chr7_88377585_88377848_+	264
mm9_chr7_90782424_90782695_+	272
mm9_chr7_91302358_91302670_+	313
mm9_chr7_91753111_91753373_+	263
mm9_chr7_95459341_95459619_+	279
mm9_chr7_108503099_108503349_+	251
mm9_chr7_117991984_117992216_+	233
mm9_chr7_118167776_118168022_+	247
mm9_chr7_120587131_120587364_+	234
mm9_chr7_122876379_122876669_+	291
mm9_chr7_125842489_125842754_+	266
mm9_chr7_127023902_127024177_+	276
mm9_chr7_129801291_129801565_+	275
mm9_chr7_133832584_133832922_+	339
mm9_chr7_134417983_134418250_+	268
mm9_chr7_134952409_134952665_+	257
mm9_chr7_142895944_142896254_+	311
mm9_chr7_147301553_147301792_+	240
mm9_chr8_10899699_10899956_+	258
mm9_chr8_11089000_11089255_+	256
mm9_chr8_12066488_12066760_+	273
mm9_chr8_12984069_12984358_+	290
mm9_chr8_14850260_14850556_+	297
mm9_chr8_19853201_19853439_+	239
mm9_chr8_19980227_19980465_+	239
mm9_chr8_23372830_23373092_+	263
mm9_chr8_33209638_33209905_+	268
mm9_chr8_34966264_34966550_+	287
mm9_chr8_35080658_35080958_+	301
mm9_chr8_36601955_36602222_+	268
mm9_chr8_37785487_37785779_+	293
mm9_chr8_37883617_37883902_+	286
mm9_chr8_46339541_46339812_+	272
mm9_chr8_46350274_46350530_+	257
mm9_chr8_46682024_46682279_+	256
mm9_chr8_47461398_47461732_+	335
mm9_chr8_47570305_47570606_+	302
mm9_chr8_56010401_56010679_+	279
mm9_chr8_67240334_67240582_+	249
mm9_chr8_70605729_70606041_+	313
mm9_chr8_71614936_71615272_+	337
mm9_chr8_74670027_74670273_+	247
mm9_chr8_91803815_91804129_+	315
mm9_chr8_93926915_93927219_+	305
mm9_chr8_94238660_94238915_+	256
mm9_chr8_95758009_95758267_+	259
mm9_chr8_96498770_96499030_+	261
mm9_chr8_112103035_112103258_+	224
mm9_chr8_116618478_116618770_+	293
mm9_chr8_116629962_116630226_+	265
mm9_chr8_116641433_116641710_+	278
mm9_chr8_120242472_120242730_+	259
mm9_chr8_122767163_122767434_+	272
mm9_chr8_124219480_124219740_+	261
mm9_chr8_129244492_129244763_+	272
mm9_chr8_129331297_129331609_+	313
mm9_chr8_131008606_131008871_+	266
mm9_chr9_9097930_9098182_+	253
mm9_chr9_9222191_9222429_+	239
mm9_chr9_14019887_14020148_+	262
mm9_chr9_14202638_14202907_+	270
mm9_chr9_21568787_21569040_+	254
mm9_chr9_23188309_23188565_+	257
mm9_chr9_24317826_24318079_+	254
mm9_chr9_42612194_42612457_+	264
mm9_chr9_43403647_43403909_+	263
mm9_chr9_48414319_48414655_+	337
mm9_chr9_50606543_50606835_+	293
mm9_chr9_50643174_50643420_+	247
mm9_chr9_54708422_54708693_+	272
mm9_chr9_64644111_64644338_+	228
mm9_chr9_66545549_66545804_+	256
mm9_chr9_67692823_67693068_+	246
mm9_chr9_68891751_68892028_+	278
mm9_chr9_69077751_69078017_+	267
mm9_chr9_74376475_74376717_+	243
mm9_chr9_74641220_74641572_+	353
mm9_chr9_74768329_74768624_+	296
mm9_chr9_78359620_78359884_+	265
